ID,As,Cd,Cr,Cu,Hg,Ni,Pb,Zn,stats
1,7.84,153.8,44.31,20.56,266,18.2,35.38,72.35,4
2,5.93,146.2,45.05,22.51,86,17.2,36.18,94.59,4
3,4.9,439.2,29.07,64.56,109,10.6,74.32,218.37,4
4,6.56,223.9,40.08,25.17,950,15.4,32.28,117.35,2
5,6.35,525.2,59.35,117.53,800,20.2,169.96,726.02,4
6,14.08,1092.9,67.96,308.61,1040,28.2,434.8,966.73,2
7,8.94,269.8,95.83,44.81,121,17.8,62.91,166.73,4
10,8.72,267.1,65.56,29.65,63,21.7,36.94,100.41,4
11,5.93,201.4,45.19,24.9,259,14.6,35.88,102.65,5
12,9.17,287,43.94,45.77,168,19.7,62.74,223.16,1
13,5.72,193.7,80.35,26.57,111,19.8,57.64,89.08,1
14,4.49,359.5,258.15,123.27,77,12.9,106.47,853.98,4
15,5.51,516.4,91.97,89.04,189,19.8,121.72,494.8,4
16,11.45,1044.5,94.78,136.97,202,22.3,472.48,602.04,1
17,6.14,445.4,82.69,167.39,144,18.4,111.24,389.8,4
18,7.84,347.9,57.65,97.14,213,19.6,70.82,307.24,1
19,7.41,345.7,159.45,71.03,85,18.1,89.34,380.92,4
21,5.51,257.2,54.64,29.01,104,13.2,87.68,223.27,1
23,9.39,325.8,172.29,104.89,82,31.5,90.9,429.29,1
24,3.3,212.1,50.13,38.62,139,10.6,66.98,186.22,5
25,4.09,90.5,35.02,11.82,16,10.4,29.09,46.84,1
26,6.14,583.4,95.25,233.7,155,21.1,97.47,311.02,4
27,5.31,366.4,42.34,64.65,188,17.4,67.11,182.65,4
28,3.69,323.9,35.14,34.66,50,13.9,65.48,253.16,4
29,21.87,424.5,73.4,59.72,1520,27.8,83.7,175.71,2
31,10.53,635.3,64.03,101.35,190,28.3,162.64,615.1,2
32,3.5,463.4,112.19,72.93,118,14.1,60.6,193.37,4
33,6.35,532,57.51,83.76,191,19.5,73.46,297.14,1
34,5.51,778.7,74.66,92.48,330,19.7,110.2,351.63,4
35,4.49,754.8,99.88,97.92,243,24.9,100.79,323.37,4
37,5.51,687.8,85.52,72.85,201,19,103.2,403.27,4
38,4.29,526,55.31,81.43,93,19.9,100.65,369.8,4
39,4.29,449.1,67.22,51.64,315,15.7,106.97,294.69,1
40,6.56,852.7,72.59,158.67,311,21.2,124.24,377.14,4
41,16.58,459,94.79,47.17,1900,19.9,71.32,215.1,4
42,7.41,337.3,77.27,248.85,90,20.1,99.58,210,1
43,5.93,568.1,75.14,118.16,135,23.8,111.54,572.96,4
44,4.69,599,69.05,122.18,121,19.8,102.72,427.04,4
45,4.9,635.5,68.42,227.76,176,19.5,96.33,538.98,4
46,5.31,600.7,44.65,45.1,51,15.5,65.87,186.33,4
47,4.29,567.6,60.25,48.67,46,16.1,63.74,208.06,4
48,5.51,228.5,49.27,30.85,62,22.9,45.93,102.04,4
49,4.69,568.6,306.02,70.41,900,16.8,79.67,196.73,4
50,7.2,214.7,50.33,40.16,156,20.8,47.76,403.98,4
51,5.31,151.9,47.24,24.44,140,17.3,37.49,92.55,4
52,4.9,343.3,42.01,58.81,80,13.8,79.07,275.82,4
53,4.9,293.9,60.29,51.03,53,12.6,75.93,278.37,4
54,3.89,312.9,33.79,277.82,55,14,68.24,295.61,4
55,3.69,315.9,45.43,34.05,55,12.6,62.84,196.33,4
56,3.11,416.3,57.88,47.64,167,11.9,116.19,242.04,4
57,3.89,374,45.17,50.19,35,15,58.11,157.35,4
58,3.89,344.3,35.29,47.87,100,15.1,133.72,141.02,4
59,2.91,252.9,45.98,71.54,32.14,14.4,42.99,146.22,4
60,3.3,503.4,38.74,30.46,36.43,7.2,53.73,102.86,4
62,4.09,127,27.58,23.99,30,11.93,57.47,85.61,3
63,2.91,265,35.66,29.39,24.64,9.23,60.54,122.96,1
64,2.72,278.9,43.43,32.61,64.29,9.9,53.4,135.71,4
65,3.11,751.2,53.11,53.8,27.86,10.46,60.27,155,4
66,3.3,361.3,47.54,52.28,25.71,9.11,113.46,218.27,4
67,3.3,488,51.18,34.55,37.5,10.8,54.62,125.92,1
68,6.14,227,42.15,67.04,49.29,16.31,34.28,82.96,1
69,3.69,347.4,37.76,19.97,26.79,10.01,54.41,221.22,5
70,4.49,136,36.56,23.07,21.43,14.96,34.19,78.98,5
71,3.11,327.1,25.98,23.73,25.71,9.79,63.81,138.06,4
72,8.06,113.1,52.4,20.81,65.36,19.69,29.56,62.24,1
73,3.69,270.5,33.12,57.85,25.71,13.5,62.04,118.16,4
74,3.69,160.3,38.29,26.08,25.71,14.29,40.13,82.86,5
75,3.5,305.5,39.5,30.86,31.07,14.74,61.89,148.88,4
76,2.72,70.9,19.45,9.12,15,7.09,22.73,32.86,3
77,8.5,261.3,45.97,24.83,51.43,18,43.39,84.49,4
78,1.77,119.8,15.32,13.34,8.57,6.19,26.31,47.76,4
79,2.53,468.8,37.04,32.03,45,12.15,65.25,178.98,4
80,3.69,150.7,59.61,19,34.29,24.98,38.47,89.08,3
81,6.14,100.3,37.49,20.23,34.29,14.85,29.29,61.94,3
82,10.99,109.8,56.07,69.06,58.93,20.7,38.87,63.27,3
83,6.35,91.8,36.12,16.91,36.43,12.49,27.01,47.76,4
84,30.13,743.9,49.03,26.18,27.86,17.66,72.76,182.04,4
85,3.89,416.8,37.04,23.78,22.5,11.48,54.45,105,4
86,2.91,369.8,36.34,52.48,22.5,7.99,42.02,84.08,4
87,1.96,194,18.08,16.17,26.79,6.98,40.27,94.69,4
88,6.98,50.1,41.02,14.25,17.14,13.39,26.57,40.92,4
89,2.91,198.8,28.21,19.24,13.93,9.56,47.81,94.8,4
90,5.93,886.6,42.69,28.12,43.93,21.15,94.64,163.27,4
91,5.93,128.9,47.52,16.31,12.86,17.66,33.51,91.73,4
92,7.41,114.3,48.34,21.45,35.36,16.54,35.83,63.88,3
93,4.29,232.9,29.17,40.02,1714.29,9.79,38.65,95.41,4
94,4.69,132.8,36.11,17.28,20.36,15.53,37.03,82.76,1
96,6.77,282.5,41.97,52.8,27.86,18.34,49.1,104.9,4
97,4.49,180.6,37.23,18.7,27.86,11.93,36.45,63.98,4
98,3.11,386.6,35.93,26.38,24.64,12.26,60,157.24,4
99,2.91,345,40.46,152.21,23.57,15.53,58.05,170.71,4
100,4.29,95.6,22.49,17.15,85.71,10.13,27.97,67.24,3
101,7.63,87.1,45.83,14.83,30,14.63,29.25,48.78,3
102,5.93,203,35.97,16.88,15,14.51,45.83,89.49,4
103,2.34,353,24.53,12.7,11.79,9,58.8,89.08,2
104,2.91,233.2,24.92,21.62,85.71,8.33,45.2,100.1,3
105,5.72,174.3,33.83,29.45,20.36,13.05,42.1,71.43,4
106,2.34,87.6,18.46,9.73,13.93,8.89,24.43,43.37,1
107,6.56,245.6,36.73,61.3,55.71,14.18,47.24,114.29,1
108,4.69,167.9,33.15,18.96,60,15.98,33.46,55.71,3
109,6.35,111.4,28.82,59.17,206.79,11.7,28.02,61.53,3
110,5.1,94.6,77.92,20.34,23.57,28.69,25.92,58.47,3
111,4.69,111.6,24.57,12.09,31.07,8.55,27.12,43.88,3
112,3.5,85.5,26.33,24.88,36.43,11.36,26.77,64.08,3
113,4.69,169.5,39.11,22.51,25.71,15.98,39.53,82.96,4
114,4.49,138,34.52,35.54,50.36,12.6,25.45,52.45,3
115,3.3,131.4,35.97,11.29,43.93,11.03,30.06,61.94,3
116,2.91,41,41.77,12.5,17.14,17.1,19.68,78.37,3
117,4.09,129.7,26.83,10.12,40.71,7.76,28.84,68.16,3
118,5.72,148,36.73,14.21,52.5,12.6,27.15,57.86,4
119,4.9,108.1,22.72,9.4,35.36,8.89,32.39,69.39,3
120,4.9,132.5,79.52,18.67,42.86,27.68,28.3,92.24,3
121,4.09,162.9,33.79,12.96,30,12.94,29.17,74.9,3
122,5.93,88.8,52.41,15.3,10.71,19.91,28.62,63.88,3
123,2.91,206.7,17.46,12.02,31.07,5.51,53.79,79.18,3
124,2.72,121.8,19.98,7.71,24.64,8.1,27.3,57.96,3
125,2.34,231.1,36.48,12.8,37.5,17.66,29.02,96.53,3
126,2.53,128.6,21.75,9.1,30,9.56,22.77,58.06,3
127,3.89,126.8,50.01,12.74,53.57,18.68,29.4,69.9,3
128,2.34,79.7,74.36,27.49,9.64,45.45,21.22,87.65,3
129,2.34,294.1,42.68,12.27,79.29,15.53,83.44,99.49,3
130,1.96,238.3,19.71,25.22,19.29,6.64,66.24,142.86,4
131,2.72,109.3,18.52,12.55,19.29,9.79,26.06,61.43,3
132,3.11,69.4,22.93,7.56,26.79,7.65,22.09,53.06,3
133,3.5,155.7,33.3,12.08,42.86,11.36,28.05,51.53,3
134,2.72,109.3,19.83,14.54,19.29,9.45,34.56,47.55,3
135,1.77,205.5,173.34,27.81,41.79,74.03,55.71,229.8,3
136,3.5,53.2,35.15,7.91,20.36,11.14,24.9,34.39,3
137,2.53,40,19.08,2.29,15,7.88,24.15,54.29,3
138,9.17,82.8,63.88,24.85,11.79,31.5,21.68,76.53,3
139,7.41,222.4,31.1,38.5,142.5,8.66,128.6,133.98,5
140,5.72,164.8,49.44,27.98,126.43,13.61,37.64,76.12,5
141,8.06,194,41.79,31.43,213.21,13.61,45.52,127.35,5
142,5.72,310.1,56.4,37.11,138.21,16.43,59.63,154.49,5
144,6.77,492.8,37.86,35.61,142.5,13.39,114.13,118.98,5
145,6.56,202.3,33.28,37.67,1339.29,11.36,140.62,110.92,5
146,6.77,97.2,38.67,18.12,24.64,14.74,28.77,49.9,5
147,6.98,208.6,41,28.55,67.5,15.19,93.83,84.59,5
148,6.14,143.4,41.67,22.57,88.93,12.49,38.14,65.61,5
149,6.69,158.1,36.61,16.22,36,12.91,31.67,63.57,5
150,8,332.6,77.06,46.01,240,24.47,68.1,259.29,4
151,6.69,401.8,84.94,60.11,138,19.16,96.76,227.55,4
152,8.23,756.4,42.73,87.52,63,19.26,88.74,184.69,1
153,9.35,407.5,55.54,61.83,112,24.05,66.82,208.27,2
154,8.9,307.3,54.39,57.21,326,25.72,131.93,256.94,1
155,3.77,242.1,30.93,32.13,28,11.56,50.6,144.69,4
156,5.41,178.9,29.54,23.73,52,9.89,49.84,118.88,1
157,7.78,315.5,49.76,28.03,550,18.95,45.73,109.29,1
158,5.62,134.6,25.33,19.1,45,11.66,40.5,87.14,1
159,5.41,235.6,36.88,48.8,43,14.06,53.61,213.47,4
160,4.58,203.8,39.03,24.18,87,16.66,53.09,138.88,4
161,6.91,568.5,54.59,113.46,264,23.22,82.4,399.9,4
162,5,506.5,59.45,70.71,202,26.13,78.01,334.39,4
163,5.62,880,78.29,121.12,293,25.61,171.14,540,4
164,6.91,250.3,39.09,50.46,81,20.41,59.17,172.65,4
165,7.78,161.9,42.08,77.92,186,18.22,62.81,171.84,4
166,6.26,249.4,54.7,81.74,75,25.51,57.92,171.12,4
167,7.56,248.2,42.23,69.39,57,16.56,44.54,165.1,4
168,4.79,156.3,41.16,32.4,83,14.58,35.5,103.88,4
169,2.77,120.3,49.85,18.38,43,25.51,37.93,115.41,4
170,6.26,429.2,54.47,56.6,45,19.78,87.5,230.41,4
171,7.34,205.1,43.63,23.51,47,19.78,41.33,104.29,4
172,4.17,113.8,37.27,17.06,34,14.47,26.74,64.49,4
173,5,221.3,30.75,70.32,47,16.14,47.2,185.41,4
174,7.56,580.1,39.78,85.46,270,17.49,66.69,315.92,4
175,5.62,171,31.23,25.73,292,15.72,31.09,110.61,4
176,6.05,365,35.92,30.91,110,17.91,44.75,147.35,1
177,4.79,289.7,42.12,41.1,57,17.49,76.8,237.45,2
179,6.47,847.6,53.17,59,96,19.05,68.82,186.53,4
180,4.17,310.7,40.7,42.64,58,14.99,115.59,177.76,1
181,5,317.5,42.46,30.96,162,17.81,59.94,221.94,4
183,6.26,387.2,38.03,30.06,85,21.97,54.98,142.55,1
184,5,196.5,50.03,18.56,29,25.82,33.9,84.8,1
185,1.61,295.8,15.4,18.35,19,4.27,40.42,106.53,2
186,4.58,129,31.09,18.93,38,15.1,29.76,69.8,1
187,5.41,204.9,40.16,25.86,41,16.24,33.28,80,1
188,3.57,174.8,31.13,26.21,26,11.14,31.77,94.08,4
189,2,197,78.36,22.98,19,24.05,43.73,104.18,3
190,3.37,106.7,16.31,9.04,17,7.6,26.89,37.14,5
191,6.47,738,47.35,24.07,135,19.58,34.09,101.73,4
192,3.37,788.7,28.9,17.62,34,15.51,26.04,91.02,4
193,6.91,133.1,40.58,32.64,27,22.39,33.97,115.2,5
194,2.38,149.5,27.18,11.19,54,14.47,38.35,59.49,3
195,7.56,206.6,55.79,24.44,22,28.63,29.73,81.73,1
196,8.67,78.9,58.87,21.65,26,23.43,26.52,70.51,4
197,4.79,178.6,32.31,29.01,45,14.26,47.98,104.9,2
198,5.41,250.1,34.32,16.25,15,18.53,41.29,90.2,1
199,5.83,89.2,54.9,23.28,19,21.76,24.95,53.57,1
200,5.62,453.5,37.22,21.92,40,16.56,41.51,87.35,5
201,4.38,92.4,38.7,15.03,21,13.85,24.22,47.24,4
202,2.77,198.7,18.11,15.33,19,9.68,34.15,95.92,5
203,5.41,260.1,43.81,26.46,33,13.22,39.49,87.04,4
204,5.62,101.1,49.01,19.96,23,20.82,26,71.53,4
205,6.69,146.5,43.39,19.89,36,17.49,33.24,60,4
206,7.56,66.5,49.24,14.67,19,17.08,25.48,41.12,4
207,2.77,119,27.49,10.62,44,10.52,31.94,53.27,3
208,1.61,434.8,21.29,12.84,18,8.85,56.14,106.43,4
209,5.62,188,30.52,26.03,58,14.26,31.96,77.45,3
210,2.97,77.5,16.91,9.95,34,7.5,28.15,41.63,3
211,4.58,130.8,35.61,19.59,23,16.14,29.87,61.12,3
212,5.2,134.5,29.37,16.33,32,13.54,29.83,59.9,4
213,3.17,101.8,32.23,10.68,12,12.81,33.2,51.12,5
214,5,232,32.43,24.23,37,15.1,36.08,101.84,4
215,7.56,121.1,62.91,31.03,44,27.28,28.36,88.16,4
216,5.2,238.7,47.18,59.66,24,19.68,62.57,108.47,4
217,6.05,151.2,92.76,31.43,79,32.07,31.57,130.61,3
218,2.77,202.6,56.54,18.09,49,28.11,26.14,82.14,3
219,2.38,351.6,64.86,28.97,65,17.28,112.62,105.31,3
220,5.2,173.8,58.28,19.99,51,22.49,31.61,69.8,3
221,8.67,423.3,61.41,117.83,216,30.3,178.88,293.16,2
222,5.41,645.3,50.27,80.6,113,23.32,99.42,358.27,4
223,7.12,967.7,36.41,70.71,66,16.87,119.35,457.96,2
224,4.58,445.7,28.32,132.05,139,12.91,87.44,303.06,2
225,8.23,420.6,35.81,73.86,561,22.49,60.91,241.63,2
226,4.58,257.4,42.25,44.84,260,19.58,46.9,192.65,2
227,6.05,248.7,44.36,42.79,150,19.89,72.2,170.1,4
228,8.23,350.3,59.07,36.58,177,24.57,52.56,170,2
229,4.17,109.9,29.09,13.71,31,11.35,25.08,51.63,4
230,3.97,306.2,38.3,36.22,115,13.54,60.63,145.51,2
231,10.74,306.5,53.98,97.05,255,27.91,69.4,177.86,2
232,3.77,515.6,28.74,77.47,1801,15.1,70.18,178.57,2
233,10.27,175.9,57.88,37.5,65,26.97,45.34,100.41,2
234,5.2,417.8,35.71,47.58,801,16.03,94.93,204.08,4
235,6.47,368.2,44.22,65.7,91,18.33,76.88,247.04,4
236,6.47,393,35.82,70.17,135,18.53,72.96,254.8,4
237,8.9,117.5,32.54,20.51,41,14.47,41.45,56.33,2
238,3.37,379.1,32.13,37.81,49,13.74,70.37,208.37,2
239,6.69,320.3,87.9,66.99,78,21.9,123.6,230.11,2
240,4.17,613.4,50.34,149.26,133,16.6,110.2,447.83,4
241,8.23,220.5,61.48,41.96,84,22.4,58.37,153.27,4
242,4.38,229.3,32.69,60.4,64,13.7,62.62,204.81,4
243,5.2,334.3,47.05,40.37,76,18.4,61.03,211.47,1
244,5.2,284.3,40.47,44.73,349,16,119.46,184.61,4
245,5.41,230.1,41.65,35.71,57,16.9,43.91,118.7,4
246,5,551.1,71.75,71.23,74,22.3,111.62,209.5,2
247,9.58,201,39.11,25.26,125,10.7,99.35,90.07,2
248,3.17,203.8,26.57,24.29,23,11.9,41.69,94.34,2
249,3.77,355.2,26.25,32.87,14,9.6,59.22,117.87,2
250,9.13,133.7,52.99,22.1,26,24.8,37.73,95.48,4
251,7.34,95.6,47.85,19.51,14,20.8,28.52,57.68,3
252,5.62,352.6,44.57,58.98,51,13.3,69.95,531.45,4
253,4.79,556.2,50.87,143.31,92,19.1,180.05,388.69,5
254,5.2,113.7,41.85,20.73,12,19,31.87,57.27,1
255,3.37,240.5,28.04,22.63,261,11.7,35.74,92.46,2
256,7.34,120.3,54.19,21.9,27,23,29.63,81.01,4
258,4.38,246.3,29.9,21.84,84,14.1,59,95.17,1
259,5.41,158,46.86,24.02,31,19.3,36.27,79.24,1
260,4.38,211.3,27.79,19.01,34,12,38.38,81.42,4
261,5.62,236.5,35.95,66.52,199,13.9,40.98,193.67,4
262,6.05,193,40.6,24.88,27,14.4,33.53,84.86,2
263,6.26,169.7,44.26,88.12,46,17.2,42.71,97.67,4
264,5.2,320.1,35.92,36.86,68,16.5,58.46,162.85,4
265,6.91,180.2,54.08,27.01,37,18.4,44.13,118.91,4
266,4.58,351.8,55.39,78.07,87,16.9,69.55,188.88,4
267,8.67,245.7,47.79,27.55,35,18.4,53.42,98.81,1
268,6.47,86.8,41.12,15.46,23,15.9,37.53,70.18,1
269,7.12,367.8,92.02,49.8,97,16.3,41.26,321.12,1
270,3.77,467.1,49.03,34.44,45,15.4,60.83,132.86,2
271,5.41,364.7,40.34,40.93,79,18.7,83.32,175.34,2
272,10.97,248.5,40.61,61.52,81,17.2,76.19,168.05,1
273,9.81,171.8,75.38,163.2,30,26.3,45.27,125.16,1
274,8.23,409.9,44.67,66.92,80,36,96.85,197.63,2
275,5.41,302.5,34.22,27.6,408,14.8,68.7,218.24,2
276,2.77,236.2,42.67,16.35,62,9.4,41.88,149.52,1
277,7.78,114.5,56.38,26.96,36,22.4,31.24,75.91,2
278,6.47,165.2,73.4,42.73,40,19.7,84.13,95.69,2
279,5.62,380.4,46.63,28.31,48,14.6,83.82,155.98,4
280,3.77,398.4,29.57,18.64,60,10.5,113.84,172.53,3
281,3.57,268.6,28.11,23.2,64,12.2,54.52,101,3
282,4.38,126.5,28.57,20.57,19,12.1,25.17,53.1,3
283,6.91,290.3,47.87,28.9,34,14.8,44.26,94.96,4
284,7.12,228.4,40.29,25.15,37,15.3,40.1,83.19,4
285,4.38,305.5,52.44,22.92,13,19.1,45.21,109.33,4
286,3.97,407.6,35.65,22.33,11,18.6,60.36,121.62,3
287,8,96.6,19.42,11.26,12,7.5,27.54,47.38,3
288,3.57,185.5,23.15,13.42,34,9.5,29.49,92.36,3
289,3.37,288.7,26.12,15.1,18,10.3,30.14,63.83,4
290,3.17,90.4,16.2,8.3,32,7,44.31,44.67,3
291,2.97,285.4,26.86,15,65,13.3,38.63,68.2,3
292,7.12,100,46.15,19.43,14,23,22.01,65.7,4
293,5.62,306.9,42.02,25.21,40,19.2,36.99,141.5,4
294,5.83,319.5,43.32,25.89,54,15.8,40.98,83.4,5
295,3.97,100.1,21.69,11.96,40,7.9,42.79,69.24,3
296,3.17,218.6,39.51,15.26,34,10.5,50.98,84.24,3
297,2.77,239.8,26.06,15.82,35,10.2,41.43,80.9,3
298,3.17,156.8,19.73,8.34,42,7.6,39.21,71.01,3
299,2.97,281.1,28.56,11.42,48,12.6,37.95,81.01,3
300,3.17,142.5,36.75,9.93,43,13.3,32.61,61.64,3
301,1.8,195.5,28.53,7.32,36,9.7,37.41,50.92,3
302,3.17,153.9,20.9,8.21,37,7.6,31.37,38.21,3
303,3.77,104.2,30.34,12.34,24,11.8,39.31,57.16,4
304,4.79,72.1,65.54,11.55,35,19.8,26.04,47.58,3
305,3.57,190.8,31.33,10.67,65,15.7,51.56,94.02,3
306,6.47,282.9,52.68,20.34,25,22.9,32.53,103.5,1
307,7.34,149,44.22,20.14,33,16,35.43,147.75,5
308,8.23,121.3,43.29,31.63,86,11.4,33.21,46.86,5
309,10.74,479.2,96.28,29.23,98,25.3,80.36,112.35,5
310,11.68,870.5,70.84,35.17,302,29.1,78.15,435.44,5
311,7.34,279,51.25,27.95,44,22.5,51.2,117.66,5
312,6.05,162,36.22,17.91,35,14.2,36.41,61.02,5
313,5.41,907,43.08,36.48,10,14.5,41.02,121.2,5
314,6.26,132.9,42.59,16.58,27,16.2,35.52,63.31,5
315,6.47,197,38.18,21.09,64,18.6,40.18,168.05,5
316,6.47,100.7,36.19,13.31,42,11.5,34.34,56.23,5
317,4.79,119.1,35.76,19.71,44,9.9,39.66,67.06,5
318,7.56,63.5,33.65,21.9,60,12.5,41.29,60.5,4
319,9.35,156,57.36,31.06,59,25.8,51.03,95.9,5
