ID,x,y,z,stats
1,74,781,5,4
2,1373,731,11,4
3,1321,1791,28,4
4,0,1787,4,2
5,1049,2127,12,4
6,1647,2728,6,2
7,2883,3617,15,4
8,2383,3692,7,2
9,2708,2295,22,4
10,2933,1767,7,4
11,4233,895,6,5
12,4043,1895,14,1
13,2427,3971,2,1
14,3526,4357,7,4
15,5062,4339,5,4
16,4777,4897,8,1
17,5868,4904,16,4
18,6534,5641,6,1
19,5481,6004,0,4
20,4592,4603,6,1
21,2486,5999,2,1
22,3299,6018,4,4
23,3573,6213,5,1
24,4741,6434,5,5
25,5375,8643,15,1
26,5635,7965,29,4
27,5394,8631,12,4
28,5291,7349,10,4
29,4742,7293,9,2
30,4948,7293,6,2
31,5567,6782,7,2
32,7004,6226,11,4
33,7304,5230,10,1
34,7048,4600,24,4
35,8180,4496,15,4
36,9328,4311,24,1
37,9090,5365,20,4
38,8049,5439,18,4
39,8077,6401,29,1
40,8017,7210,39,4
41,6869,7286,18,4
42,7056,8348,37,1
43,7747,8260,49,4
44,8457,8991,21,4
45,9460,8311,45,4
46,9062,7639,45,4
47,9319,6799,49,4
48,10631,6472,57,4
49,10685,5528,34,4
50,10643,4472,45,4
51,11702,4480,71,4
52,11730,5532,54,4
53,11482,6354,61,4
54,10700,8184,50,4
55,10630,8774,29,4
56,11678,8618,17,4
57,11902,7709,30,4
58,13244,7056,37,4
59,12746,8450,21,4
60,12855,8945,18,4
61,13797,9621,18,4
62,14325,8666,23,3
63,15467,8658,17,1
64,12442,4329,65,4
65,13093,4339,56,4
66,13920,5354,79,4
67,14844,5519,62,1
68,16569,6055,78,1
69,16387,6609,44,5
70,16061,7352,28,5
71,15658,7594,24,4
72,14298,7418,36,1
73,14177,6684,35,4
74,15092,6936,32,5
75,12778,5799,93,4
76,17044,10691,93,3
77,17087,11933,43,4
78,17075,12924,25,4
79,17962,12823,25,4
80,18413,11721,88,3
81,19007,11488,84,3
82,18738,10921,53,3
83,17814,10707,64,4
84,18134,10046,41,4
85,17198,9810,37,4
86,17144,9081,20,4
87,18393,9183,26,4
88,19767,8810,46,4
89,21006,8819,55,4
90,21091,9482,43,4
91,22846,9149,69,4
92,23664,9790,46,3
93,22304,10527,40,4
94,21418,10721,35,1
95,21439,11383,45,4
96,20554,11228,43,4
97,20101,10774,40,4
98,21072,10404,32,4
99,20215,9951,31,4
100,18993,12371,78,3
101,19968,12961,42,3
102,21766,12348,67,4
103,22674,12173,52,2
104,22535,11293,54,3
105,25221,5795,27,4
106,26453,5577,11,1
107,26416,6508,14,1
108,27816,5581,11,3
109,25361,6423,49,3
110,24065,7353,104,3
111,25998,7032,51,3
112,27177,7771,17,3
113,26424,8639,8,4
114,26073,8807,38,3
115,24631,9422,76,3
116,24702,9522,62,3
117,25461,9834,68,3
118,24813,10799,46,4
119,26086,11094,53,3
120,26015,12078,57,3
121,27700,11609,165,3
122,27696,11621,169,3
123,27346,13331,100,3
124,26591,13715,126,3
125,27823,14737,189,3
126,27232,14482,150,3
127,24580,13319,107,3
128,24153,12450,71,3
129,22965,13535,78,3
130,23198,13523,62,4
131,24685,14278,98,3
132,28654,8755,23,3
133,24003,15286,90,3
134,21684,13101,114,3
135,22193,12185,79,3
136,17079,5894,81,3
137,15255,5110,110,3
138,15007,5535,70,3
139,3518,2571,59,5
140,3469,2308,52,5
141,3762,2170,30,5
142,3927,2110,27,5
143,4153,2299,73,5
144,3267,793,0,5
145,4684,1364,37,5
146,5495,1205,9,5
147,5664,1653,13,5
148,5541,2093,26,5
149,5451,2757,92,5
150,4020,2990,27,4
151,4026,3913,13,4
152,5101,4080,13,1
153,5438,3994,10,2
154,5382,3012,50,1
155,5314,2060,40,4
156,5503,1127,6,1
157,5636,133,17,1
158,6605,374,6,1
159,7093,1381,45,4
160,7100,2449,89,4
161,6837,3490,28,4
162,7906,3978,22,4
163,8045,3052,39,4
164,8394,2035,27,4
165,8403,1075,6,4
166,8079,0,16,4
167,9663,1288,3,4
168,9469,2286,15,4
169,9178,3299,42,4
170,9095,3975,26,4
171,10225,3821,19,4
172,10210,2789,19,4
173,10340,1764,7,4
174,11557,1581,7,4
175,11415,2585,12,4
176,11649,3515,27,1
177,12734,4015,43,2
178,12696,3024,27,4
179,12400,2060,13,4
180,12591,1063,18,1
181,13765,1353,15,4
182,13694,2357,33,4
183,13855,3345,79,1
184,14862,2524,28,1
185,14896,1603,4,2
186,15387,729,8,1
187,15810,2307,8,1
188,16032,3061,35,4
189,15801,3966,115,3
190,15087,3512,69,5
191,16872,2798,10,4
192,17734,3629,14,4
193,16823,4207,67,5
194,17008,4775,82,3
195,17203,6218,40,1
196,17005,7212,33,4
197,16947,7487,41,2
198,16301,8299,24,1
199,17904,8287,25,1
200,18303,7385,39,5
201,18438,6539,22,4
202,18556,5588,15,5
203,18954,4874,4,4
204,18012,4414,20,4
205,19072,8519,36,4
206,20282,8590,57,4
207,21475,8540,85,3
208,21450,7555,58,4
209,20261,7586,29,3
210,19569,7348,70,3
211,19411,6934,28,3
212,19501,6091,9,4
213,20582,6548,13,5
214,19909,5300,3,4
215,21018,5764,9,4
216,22176,5492,25,4
217,23359,5325,28,3
218,23238,6502,169,3
219,22624,4818,27,3
220,21703,6591,65,3
221,5006,8846,6,2
222,5734,9659,3,4
223,6395,10443,4,2
224,7405,10981,6,2
225,8446,11200,4,2
226,7612,11938,2,2
227,7912,12840,1,4
228,8866,13143,3,2
229,9296,13102,9,4
230,9475,12000,9,2
231,9212,11305,5,2
232,8629,12086,1,2
233,7776,10613,9,2
234,8622,10638,4,4
235,9237,9872,28,4
236,8307,9726,14,4
237,7106,9467,44,2
238,6423,8831,40,2
239,7458,8920,36,2
240,8904,8868,24,4
241,10547,9591,32,4
242,10398,10360,0,4
243,10395,11203,8,1
244,11529,11243,16,4
245,11563,10298,12,4
246,11646,9381,14,2
247,12641,9560,11,2
248,14000,8970,14,2
249,14207,9980,14,2
250,14065,10987,25,4
251,12734,10344,32,3
252,12727,7691,32,4
253,14173,11941,14,5
254,15467,12080,23,1
255,15140,11101,30,2
256,15198,10100,28,4
257,15248,9106,16,4
258,16428,9069,20,1
259,16289,10072,43,1
260,16267,11058,60,4
261,16440,12068,47,4
262,16440,13232,24,2
263,15412,12982,21,4
264,14269,12877,27,4
265,13277,13204,19,4
266,13175,12238,31,4
267,12153,12336,16,1
268,11958,13313,13,1
269,10800,13282,9,1
270,10022,12204,5,2
271,9333,14631,4,2
272,9277,16148,18,1
273,11121,16432,23,1
274,10856,14727,41,2
275,12644,14943,43,2
276,12625,16259,66,1
277,9036,17538,3,2
278,10599,17980,11,2
279,12632,17949,33,4
280,14405,18032,152,3
281,14074,16516,124,3
282,14262,15129,66,3
283,14624,14004,25,4
284,16629,14481,41,4
285,18470,14411,59,4
286,20591,13549,42,3
287,20983,15862,93,3
288,20177,17642,276,3
289,19041,15769,90,4
290,18906,16346,173,3
291,18467,17001,308,3
292,17414,15476,97,4
293,15748,15728,56,4
294,15517,17034,77,5
295,16607,17365,155,3
296,15952,18397,103,3
297,22605,14301,93,3
298,23146,15382,153,3
299,22046,17634,171,3
300,23785,17643,194,3
301,25981,18051,173,3
302,27380,18202,136,3
303,25021,16290,104,4
304,23325,16701,105,3
305,26852,16114,225,3
306,17981,18449,93,1
307,14482,12692,20,5
308,14318,13569,30,5
309,10352,17133,31,5
310,9095,16414,29,5
311,10510,15314,19,5
312,13954,5615,61,5
313,10142,1662,8,5
314,17765,3561,8,5
315,6924,5696,7,5
316,4678,3765,40,5
317,6182,2005,25,5
318,5985,2567,44,4
319,7653,1952,48,5
