引才单位,岗位名称,人员需求情况,,,,,,提供待遇情况,,,引才方式,引才来源,区县,联系人电话
,,专业,年龄,学历学位,职务职称,能力业绩要求,需求人数,薪酬 （元/月）,科研经费,住房,,,,
中环天仪股份有限公司,中国工程院院士,机械电子,60岁以下,博士,教授,曾担任机械电子工程相关院所（项目）负责人。,1,面议,视具体情况而定,提供,柔性,海外,高新区,王洪元         022-58389536
天津瑞普生物技术股份有限公司,首席科学家（院士）,生物学等相关专业,65岁以下,不限,不限,能指导完成基因工程亚单位疫苗、DNA疫苗、活载体疫苗、基因缺失标志疫苗、多肽疫苗等新型动物用疫苗的新产品开发。,1月2日,45,500元,提供,柔性,海外,保税区,乔玲   15822100209
,研究院院长,生物、医药、兽医等相关专业,50岁以下,硕士,高级,具有相关工作经验，负责瑞普生物研究院整体运营体系的建设，梳理完善管理制度与规范标准并监督实施，实现顺畅高效运行。博士优先。,1,65,视具体情况而定,提供,刚性,海外,,张楠          022-88958181
,学科带头人,生物、医药、兽医等相关专业,55岁以下,硕士,高级,在家禽或家畜行业有丰富的行业经验以突出的研究成果。博士优先。,若干,45,视具体情况而定,提供,刚性,海外,,
,分公司总经理,生物、医药、兽医等相关专业,55岁以下,本科,不限,负责公司各项经营管理指标的落实生产、研发、营销、行政、人力资源、信息、财务等职能部门的管理。,2,35,视具体情况而定,提供,刚性,海外,,
天津力神电池股份有限公司,高级顾问（院士）,电化学,65岁以下,不限,不限,锂电池行业领军人物，至少10年以上工作经历。,1,面议,视具体情况而定,提供,柔性,海外,高新区,刘英臣         022-83716857
天津市松正电动汽车技术股份有限公司,“外专千人”计划人选,机械、电子、软件相关专业,30岁,博士,高级,具有10年新能源汽车动力系统研发经验，5年重大项目管理经验，能领导研发团队开展前瞻性研发、规划、设计新产品。,2,40,视具体情况而定,提供,均可,海外,保税区,刘菁    13110008760
天津久日化学股份有限公司,研发顾问,有机化学、应用化学等,35-60岁,博士,高级,从事有机化学10年的相关工作经验，5年实验室工作经验。承担过市级科技计划项目；承担过863/975计划的优先。技术能力强，经验丰富；能够组织协调其他专业人员进行方案设计；具有良好的沟通能力和团队协作精神，思维缜密，为人诚恳、踏实，工作认真负责。要求每年至少在公司工作3月。,1,18,300,无,柔性,国内,北辰区,李欢欢      022-58889217
,高级工程师,有机化学、应用化学等,30-45岁,不限,不限,从事有机化学5年的相关工作经验；具有3年管理经验；单独承担过科研生产项目。技术能力强，经验丰富；能独立进行方案设计；具有良好的沟通能力和团队协作精神，思维缜密，为人诚恳、踏实，工作认真负责。,3,12,100,公司宿舍,刚性,国内,,
天津市康婷生物工程有限公司,科学发展部研究员,生物、医药、细胞学、分子生物学等,不限,硕士及以上,不限,熟练掌握细胞培养技术，较强的科研能力，能够独立完成实验。思维清晰、敏捷，工作态度严谨细致，责任心强，良好的实验习惯及解决问题的能力。较强的中英文资料检索和阅读能力，熟悉常用医药网站和数据库，较强的生物医药学背景和文字撰写能力，近年以第一作者身份在SCI发表文章一篇以上，一定的抗压能力。具有团队合作意识，一定的协调沟通能力和人际交往能力。有省部或以上级项目申报成功经验者优先，具备资质申报或知识产权申报经验者优先，英文优秀者优先。有干细胞或免疫细胞相关领域研发经验者优先。,4月6日,面议,根据部门申报项目情况调整,无,刚性,归国留学人员优先,西青区,马洁        022-83969871-8665
,生物医学研究院学术委员会顾问,生物、医药、细胞学、分子生物学等,不限,不限,副高及以上,干细胞或细胞治疗等相关领域内权威专家。曾入选省部或以上优秀人才计划，主持过省部或以上级科研项目。具有较高的学术水平，较强的组织管理和协调能力。,2月4日,面议,,面议,柔性,不限,,
天狮集团有限公司,大学城项目总经理,建筑类,40-50岁,不限,总经理,规划设计、建筑设计大型设计院或大型房地产公司或政府规划部门或有过大学城项目管理经验10年以上；40岁以上，建筑设计或规划相关专业本科以上学历；具有相应的从业一级资质。,1,面议,无,提供,均可,中国籍,武清区,李志刚  13752378058
,泰济生市场营销总监,营销,35-45岁,不限,总监,具有10年以上同类健康管理产品销售经验，8年以上同类健康管理、医疗机构营销管理经验；熟悉该事业部产品市场情况，具有营销体系建设和管理能力，具有良好的市场分析、判断和营销策划能力，能够快速提升公司的销售业绩；公关、销售谈判能力强，能够处理市场开拓和客户管理中的难题；综合管理、组织能力强，能够统领一支高效率、具有强大战斗力的营销团队。,1,面议,无,提供,均可,中国籍,,
,海外教育培训总监,管理类,35-45岁,不限,总监,"具有10年以上大型直销企业教育培训、市场销售运作经验,精通直销行业教育培训工作。5年以上大型或跨国企业管理经验。具有组织、策划直销公司大型会议和各类培训的背景。熟练掌握直销理论和培训技能。语言能力：普通话、英文，能够熟练使用英文进行听、说、读、写。",5,面议,无,提供,均可,中国籍,,
,产品管理总监,生物,35-45岁,不限,总监,"具有15年以上大型跨国企业相关工作经验，有2年以上直销行业工作经验更佳。熟悉保健品、化妆品行业产品标准，具备丰富的新产品市场推广知识；在直销国际化营销，策略规划，项目领导，中国保健食品注册，人才管理等方面有专长；具有国际市场、海外协调工作经验，熟悉国内外保健食品、保健用品、食品、药品、化妆品,日化用品行业市场，有产品管理、产品培训及产品分析相关专业知识。",2,面议,无,提供,均可,台湾、香港、马来均可考虑,,
,泰济生人事行政,人力资源,35-45岁,不限,总监,有3年以上健检医疗机构相关行业人事行政管理经验：有劳动法律法规、人力资源管理、行政管理培训经历；管理能力、识人能力、谈判能力、沟通协调能力、解决复杂问题能力；具备现代企业人力资源管理、行政管理相关知识。,1,面议,无,提供,均可,国内,,
,董事长办公室主任,管理类,40-50岁,不限,总监,英文精通，有集团化公司董办主任、董事长助理、或者政府办公厅秘书长、外事主任等相关职位背景，本科以上学历；沟通能力强，具备外事尤其是国家级外事处理能力；精通国际礼仪和外交礼仪，形象气质佳综合素质高。,1,面议,无,提供,均可,国内,,
天津药物研究院有限公司,药物制剂研究、新型药物制剂研发人员,药物制剂相关,45岁以下,博士,副高,系统从事过靶向、吸入式复方制剂、难溶性药物制剂、中药制剂等研究工作，具有组织承担药物制剂领域科技项目经验，取得过标志性科技成果（具有国内外知名企业或大学、研究机构工作经验者优先考虑）。具有较强的组织管理和协调能力、敬业精神和团队精神；能保证每年在实验室的实际工作时间不少于9个月。,3,25,给予项目的相关资助与配套,提供,刚性，视具体情况可议,不限,河西区,尚嘉鹏     022-23004056
,化学制药研究、创新药物设计开发人员,药物化学、有机化学、化学制药相关,45岁以下,博士,副高,具有组织承担药物合成、路线设计、工艺改进等研究项目的经验，熟悉仿制化学药物、创新化学药物的研究工作流程和要求（具有国内外知名企业或大学、研究机构工作经验者优先考虑）。具有较强的组织管理和协调能力、敬业精神和团队精神；能保证每年在实验室的实际工作时间不少于9个月。,3,25,给予项目的相关资助与配套,提供,,不限,,
,药理学、毒理学、药代动力学研究人员,药理、毒理、基础医学、临床医学、生物技术相关,45岁以下,博士,副高,系统从事过新药临床前安全评价工作，熟悉国内外新药评价的技术要求和管理流程（具有国内外知名企业或大学、研究机构工作经验者优先考虑）。具有较强的组织管理和协调能力、敬业精神和团队精神；能保证每年在实验室的实际工作时间不少于9个月。,2,25,给予项目的相关资助与配套,提供,,不限,,
,药物分析研究人员,药物分析、分析化学相关,45岁以下,博士,副高,系统从事过药物分析工作，熟悉相关仪器设备的应用，具有组织承担相关项目的经验（具有国内外知名企业或大学、研究机构工作经验者优先考虑）。具有较强的组织管理和协调能力、敬业精神和团队精神；能保证每年在实验室的实际工作时间不少于9个月。,2,25,给予项目的相关资助与配套,提供,,不限,,
,资深国际药品注册人员,国际新药注册相关,45岁以下,博士,高级,系统从事过国际药品注册工作，熟悉国内外药品注册相关法规、药品注册流程、药物检测分析等相关知识，具有相关专业领域研发背景，具备较高学术水平。,1,25,给予项目的相关资助与配套,提供,刚性,国内,,
泰伦特生物工程股份有限公司,高级技术研发工程师（生物工程方向）,生物工程,35岁以下,硕士,中级及以上,生物工程相关工作经验5年以上。独立带领项目组完成科研项目。,3,面议,面议,无,均可,国内,北辰区,王伟   86810555
天士力控股集团有限公司,研究员,药物合成,不限,硕士及以上 ,不限,掌握药物化学，有机合成基本知识，熟悉药物化学发展动态，具有比较完善的知识体系；2年以上药物研发工作经验，有项目负责人经验为佳。,2,面议,面议,提供,刚性,不限,北辰区,王伟   86810555
,研究员,天然药化,不限,硕士及以上 ,不限,掌握药物化学，天然药物化学基本知识，熟悉药物化学发展动态，具有比较完善的知识体系；2年以上药物研发工作经验，有项目负责人经验为佳。,2,面议,面议,提供,刚性,不限,,
,研究员,药理分析,不限,硕士及以上 ,不限,掌握药理分析基本知识，熟悉药物化学发展动态，具有比较完善的知识体系；2年以上药物研发工作经验，有项目负责人经验为佳。,2,面议,面议,提供,刚性,不限,,
,研究员,制剂,不限,硕士及以上 ,不限,掌握药物化学，化学制剂基本知识，熟悉药物化学发展动态，具有比较完善的知识体系；2年以上药物研发工作经验，有项目负责人经验为佳。,2,面议,面议,提供,刚性,不限,,
,研究员,数据管理,不限,硕士及以上 ,不限,具有10年以上计算机相关工作经验，5年药厂工作经验；熟悉美国、欧盟对计算机的法规要求，精通计算机系统运维、信息安全；参加过GCP培训、Part11培训、计算机信息安全培训。,2,面议,面议,提供,刚性,不限,,
,研究员,药理,不限,硕士及以上 ,不限,掌握药品或保健品药理研究相关知识，熟悉药物申报临床前研究相关法规和技术要求，独立或辅助进行动物实验设计，实验数据的分析处理；质量管理部门建设管理知识，能够独立履行质量保证职责。,2,面议,面议,提供,刚性,不限,,
,研究员,毒理,不限,硕士及以上 ,不限,掌握药品或保健品毒理研究相关知识，熟悉药物申报临床前研究相关法规和技术要求，独立或辅助进行动物实验设计，实验数据的分析处理；质量管理部门建设管理知识，能够独立履行质量保证职责。,2,面议,面议,提供,刚性,不限,,
,顾问,药学相关,不限,硕士及以上 ,不限,具有5年以上国际学术水平，可对接创新项目，有相关项目管理经验优先。,2,面议,面议,提供,柔性,不限,,
,资深研究员,植化相关,不限,博士,不限,有大型跨国制药企业DOE&QbD研发经验，FDA-CMC研发及注册经验。,1,面议,面议,提供,均可,不限,,
,资深研究员,药学相关,不限,博士,不限,有大型跨国制药企业EMA-CMC研发及注册经验，SCI收载论文3篇以上，有20人以上团队管理经验，学术研究获全国性奖项。,1,面议,面议,提供,均可,不限,,
,资深研究员,药学相关,不限,博士,不限,有大型跨国制药企业。EMA-CMC研发及注册经验。SCI收载论文3篇以上，有20人以上团队管理经验，学术研究有全国性奖项。,1,面议,面议,提供,均可,不限,,
,资深研究员,药物制剂,不限,博士,不限,有大型跨国制药企业药物制剂研发经验，EMA-CMC研发及注册经验。,1,面议,面议,提供,均可,不限,,
,药类研究员,药学相关,不限,博士,不限,美国、日本、欧洲等药学发达国家院校毕业生优先。SCI收载论文3篇以上，有相关项目管理经验优先。,16,面议,面议,提供,均可,海外,,
天津惠科恩胜医药科技发展有限公司,研发工程师,医学或生物研究相关,26岁,硕士,不限,有知名医药、医疗器械等行业企业科研工作经验3年。熟悉现代生物医药、医疗器械等方面的科研工作，制定项目选立方案，提出合理化建议；对国内外医药、器械、耗材等学术、理论、技术发展状况有清晰的了解，能够独立参与专业的学术性、技术性医学性方面的活动商业性的推广演示。,1,10,面议,面议,均可,不限,西青区,毕士雪15302068631
天津贝罗尼生物科技有限公司,生物技术,生物技术,30-45岁,博士,不限,具有5年以上工作经验；具备在生物技术领域从事设计、生产、经营管理和新技术研究、新产品开发的能力。,1,面议,面议,面议,刚性,国内,西青区,李向鑫13820879459
天津市中升挑战生物工程有限公司,技术研发,生物饲料技术,29-35岁,博士,中级,具有相关实习或工作经验，从事相关行业。,1,面议,面议,待定,刚性,国内,西青区,苏冬雷      022-23833035
天津国际生物医药联合研究院,学术带头人,生物医药相关,55岁以下,博士,副教授,在国际著名刊物上发表论文数篇，有产业化成果。具有5年海外经历的优先考虑。,不限,30,协助申请各类经费支持,提供,均可,海外优先,开发区,张敏13212219826
中国科学院天津工业生物技术研究所,国家“千人计划”人选,生物学、化学类,55岁以下,博士,正高级,在国外著名高校、科研院所担任相当于教授职务的专家学者。在本领域内取得世界一流的科研成果。,2,协议工资，100万元生活补贴、300万元以上科研经费和300平米以上实验办公面积,,,均可,海外,保税区,刘琦       022-24828708
,国家“青年千人”,,40岁以下,,,博士学位，在海外知名高校、科研机构或知名企业研发机构有3年正式教学或科研职位。,4,60,,,刚性,海外,,
,国家“外专千人”计划人选,,65岁以下,,,在国外著名高校、科研院所担任相当于教授职务的专家学者。在本领域内取得世界一流的科研成果。,2,协议工资，100万元生活补贴、300万元以上科研经费和必要的实验办公场所及人员,,,刚性,海外,,
,天津千人,,55岁以下,,,具有4年以上海外正式工作经验。本领域内取得一定科研成果，发表过高水平论文。,2,根据中科院和研究所有关规定执行,,,均可,海外,,
,天津青千,,40岁以下,,,具有4年以上海外正式工作经验。本领域内取得一定科研成果，发表过高水平论文。,4,根据中科院和研究所有关规定执行,,,刚性,海外,,
,中科院百人,,,,,博士学位，在海外知名高校、科研机构或知名企业研发机构有3年正式教学或科研职位。,2,60,,,刚性,不限,,
,中科院技术百人,,,,,具有4年以上海外正式工作经验。本领域内取得一定科研成果，发表过高水平论文。,2,根据中科院和研究所有关规定执行,,,刚性,,,
,研究员,,,,,具有4年以上海外正式工作经验。本领域内取得一定科研成果，发表过高水平论文。,5,根据中科院和研究所有关规定执行,,,刚性,,,
,副研究员,,35岁以下,,副高级,海外博士后经历或国内两家博士后经历。本领域内取得一定科研成果，发表过高水平论文。,10,根据中科院和研究所有关规定执行,,,刚性,,,
中国航天8357所,系统封装集成,微电子及相关,35岁以下,博士,不限,具有3年以上相关工作经历。主要从事混合微系统集成芯片设计方案研究；具备较强的模拟、射频IC设计及组件设计者优先。,2,面议,面议,无,柔性,国内,保税区,孙连山     022-58168029
,片上系统集成,微电子及相关,35岁以下,博士,不限,具有3年以上相关工作经历。从事片上微处理系统架构集成及SOC系统架构设计。,2,面议,面议,无,柔性,国内,,
天津津航技术物理研究所,项目经理,机械电子等相关专业,35-45岁,硕士,不限,具有5年汽车行业相关工作经验，3年成功的项目管理经验，能审查并部分发布特定客户的产品规格。,1,35,视具体情况而定,无,刚性,国内,保税区,高坤13920196956
中铁航空港集团第三工程有限公司,工程施工高级专业技术人才,铁路、道路、桥梁、市政、房建、地铁、机电、预算,45岁以下,不限,高级工程师,具有基层施工技术10年并在项目工程管理部门负责人或技术主管岗位5年（同级岗位不受此条件限制）工作经验。熟悉并掌握工程项目管理工作流程丰富的管理实践经验。具有很强的组织领导、沟通协调分析判断决策能力。相关专业一级建造师执业资格。,每专业各1名,10,无,无,柔性,国内,红桥区,范迎春 86516130
中航工业直升机所（天津直升机研发中心）,工程设计岗位,航空工程、直升机工程、机械工程,35岁以下,硕士及以上,不限,有航空工业工作经验者优先。熟练掌握本专业领域知识，了解本专业国内外发展趋势和先进技术，具有一定的相关专业基础知识；能独立承担较难的专业技术或技术管理项目，解决有一定难度的技术问题；中英文熟练交流。,6,面议,根据直升机型号需求,白领公寓,均可,不限,保税区,汪璐璐     022-59800350
,适航管理岗位,适航管理,35岁以下,硕士及以上,不限,有航空工业工作经验者优先。熟练掌握本专业领域知识，了解本专业国内外发展趋势和先进技术，具有一定的相关专业基础知识；能独立承担较难的专业技术或技术管理项目，解决有一定难度的技术问题；中英文熟练交流。,2,面议,根据直升机型号需求,白领公寓,均可,不限,,
,科研管理岗位,航空工程、项目管理,35岁以下,硕士及以上,不限,有航空工业工作经验者优先。熟练掌握本专业领域知识，了解本专业国内外发展趋势和先进技术，具有一定的相关专业基础知识；能独立承担较难的专业技术或技术管理项目，解决有一定难度的技术问题；中英文熟练交流。,2,面议,根据直升机型号需求,白领公寓,均可,不限,,
亚新科（天津）汽车零部件有限公司,高级技术工程师,机械设计、材料成型、工业工程、自动化等,30岁,不限,工程师,至少具有6年相关工作经验。有关汽车零部件相关专业背景，精通铝合金高压低压铸造，浇铸，压铸或机加工相关技术。,10,13.8,无,提供,均可,不限,武清区,李志刚13752378058
,设备经理,机械、模具、铸造等,30岁,不限,经理,至少具有6年相关工作经验。有关汽车零部件相关专业背景，精通铝合金高压低压铸造，浇铸，压铸或机加工相关技术。,1,13.8,无,提供,均可,不限,,
海鸥表业集团有限公司,博士后工作站,精密机械,35岁以下,博士,不限,熟悉精密仪器加工。,1月2日,20,无,无,刚性,不限,保税区,曹禹   58676761
,博士后工作站,计时仪器,35岁以下,博士,不限,熟悉手表装配。,1月2日,20,无,无,刚性,不限,,
天津优瑞纳斯液压机械有限公司,设计工程师,机械制造,30-40岁,硕士及以上,工程师,具有5年以上机械行业工作经验，液压行业优先。参与实施新产品开发、研制工作，制定开发计划。,不限,面议,面议,提供,刚性,不限,西青区,宋迎春      022-83989131-845
,项目负责人,机械制造,30-40岁,硕士及以上,项目经理,具有5年以上机械行业工作经验，液压行业优先。在公司领导下，组织项目的立项、申报、审批、验收等各环节的工作，并负责申报项目的报送跟踪，直至项目完成。,1,面议,面议,提供,刚性,不限,,
伯特利（天津）工业设备有限公司,机械设计工程师,机械设计,40岁以上,硕士,中高级,机械制造业机械设计背景；有专业的机械研发经验、对产品研发的过程控制有丰富的经验；有带领研发队伍完成重要项目的经验；独立完成项目及投标设计创新改善能力强，有项目实施工作经验。,2,面议,无,无,均可,不限,西青区,杨海蓉      022-58964560
合时自动化（天津）有限公司,项目经理,机电一体化,35-50岁,不限,不限,具有10年机械设备研发类项目管理经验。优秀的英语沟通能力；项目管理全过程控制经验；有研发团队协作经验；具有商务谈判经验优先。,3,24,无,视具体情况,刚性,不限,西青区,肖国成1392030780
,高级机械设计专家,机械设计,40岁,不限,不限,具有15年的机械、自动化设备研发设计制造经验。优秀的英语表达能力；有专业的机械研发经验；对产品研发的过程控制有丰富的经验；良好的工作习惯；有带领研发队伍完成重要项目的经验。,3,36,无,视具体情况,刚性,不限,,
,机械装配工程师,机械,40岁左右,不限,不限,具有10年机械设备装配调试经验。精通机械、电气气动设备；丰富的工艺过程经验；有电子产品、机械产品制造背景；良好的英语沟通能力。,1,18,无,无,刚性,国内,,
,应用工程师,机电一体化,35-40岁,不限,不限,具有10年机械设计经验。丰富的机械结构设计经验；熟悉设备选型要求工艺特点；优秀的英语沟通能力；有机械制造经验优先考虑。,3,24,无,无,刚性,国内,,
,电气工程师,自动化,35-40岁,不限,不限,具有10年以上电气设计及编程经验。精通SIMENS 系列及ROCKWELL 系列的编程软件；有视觉控制软件开发经验；熟悉机器人控制软件的编写；能够独立完成电气选型及设计工作。,3,面议,无,无,刚性,国内,,
,EHS工程师,安全工程,28-35岁,不限,不限,具有6年的跨国企业EHS管理经验。有丰富的机械类安全管理经验；具备安全管理工程师资格；精通英语；良好的学习能力和执行力；能够出差。,1,12,无,无,刚性,国内,,
天津市通洁高压泵制造有限公司,副总经理,企业管理、机械自动化等,35-45岁,不限,不限,具有10年以上机械制造企业经营管理经验，5年以上知名企业相关工作经验者优先；男性优先，外省亦可。了解企业管理、战略管理、市场开发管理与生产作业管理、人力资源管理、财务管理等相关专业知识；能够根据公司实际情况，制定正确的，可行的管理目标，在实际经营管理中能够团结带动大多数人；出众的管理才能和良好的业务能力，熟悉先进的管理模式；较强的综合分析能力和驾驭全局的能力；有用人、决策和公关等的综合素质，善于与人深入沟通；精力充沛，团队组织能力强，能承受较大的工作压力。,1,面议,面议,提供,刚性,国外经历者优先,西青区,宁宁        022-83963217
,生产总监,机械制造或企业管理等,35-45岁,不限,不限,具有10年以上机械制造企业生产管理经验；熟悉机械制造流程，对生产计划、质量控制，精益生产有深刻的认识；对6S、ISO9000管理体系有较强的实践经验；工作认真，责任心强，具备有效组织、实施各项工作计划的领导能力。,1,面议,面议,提供,刚性,国外经历者优先,,
,技术总监,机械设计相关专,35-45岁,不限,不限,在同行业领域有5年以上研究开发及项目管理的工作经验，接受过职业或特殊培训；男性优先，外省亦可。精通行业内的最新技术方法，能够把握行业技术发展趋势和业务发展动向，对关键技术有自己独到见解；熟悉企业产品结构、性能、机理、使用方法，有较强的机械设计理论水平和技术工作经验；有很强的判断、决策、计划、执行能力及项目管理能力；能够遵守公司各项规章制度，作风正派，服从指挥。,1,面议,面议,提供,刚性,国外经历者优先,,
,营销总监,市场营销、企业管理类、机械自动化等,35-45岁,不限,不限,具有10年以上工作经验，其中5年以上著名机械制造行业营销管理经验；在企业营销管理领域有深厚的理论功底和丰富的运作经验；有较强的市场感知能力、敏锐地把握市场动态、市场方向的能力；出色的人际沟通能力、团队建设能力、组织开拓能力。,1,面议,面议,提供,刚性,国外经历者优先,,
,高级机械工程师,机械设计相关,35-45岁,不限,不限,接受过职业或特殊培训，有多年从事机械或设备行业设计工作或流水线设计工作经验；男性优先，外省亦可。有较强的机械设计理论水平，能够独立完成机械设备和零部件、夹具设计工作；有较强的协调沟通能力，能够与机械设备和零部件的供应商洽谈，能够完成必要的培训工作；能适应高强度、高压力的工作，能够根据工作需要加班；能够根据自身的专业知识和经验，对工作中出现的具体问题做出准确的判断；能够遵守公司各项规章制度，作风正派，服从指挥。,4,面议,面议,提供,刚性,国外经历者优先,,
,高级培训师,不限,35-45岁,不限,不限,从事机械制造行业培训工作5年以上者优先；男性优先，外省亦可。组织能力、写作能力与沟通能力强，有责任心，能承受压力；熟悉操作办公软件；有很强的计划、组织、领导、协调、控制、督导能力；具有实际培训成功案例者优先考虑。,1,面议,面议,提供,刚性,国外经历者优先,,
,高级采购经理,不限,35-45岁,不限,不限,男性优先，外省亦可。主持采购部的全面工作。领导采购部门按部门的工作职能做好工作。根据项目营销计划和施工计划制订采购计划，并督导实施。制定公司的物资管理相关制度，使之规范化。制定物资采购原则，并督导实施。做好采购的整体预算工作，根据资金运作情况，合理进行预先采购。定期组织员工进行采购业务知识和采购人员职业道德方面的学习，提高公司采购人员的综合能力。控制好物资批量进购，避开由于市场不稳定所带来的风险。进行采购收据的规范指导和审批工作，协助财会进行工程的审核及成本的控制。,1,面议,面议,提供,刚性,国外经历者优先,,
天津赛象科技股份有限公司,高级技术顾问,机械类,不限,不限,副高,跨国企业、轮胎机械行业相关从业经历，熟悉轮胎工艺。掌握橡胶行业前沿技术与知识，能组织领导轮胎机械相关新技术、新产品的研发。,1,75,视项目情况而定,提供,均可,海外,高新区,王红军18622989929
,高级研发工程师,机械类,不限,不限,中级及以上,具有大型企业、制造业相关工作经历、熟悉轮胎机械。能组织领导轮胎机械相关新技术、新产品的研发。,1,面议,视项目情况而定,提供,均可,国内,,
沃德（天津）传动有限公司,设计工程师,机械设计制造及其自动化,28-50岁,博士,不限,械制造类科研研发相关工作背景，精通传动设备设计理论知识，具备丰富的工业传动设备研发经验。,2,面议,面议,面议,均可,国内,北辰区,王伟   86810555
