引才单位,岗位名称,人员需求情况,,,,,,提供待遇情况,,,引才方式,引才来源,区县,联系人电话
,研发工程师,机械设计制造及其自动化,28-50岁,博士,不限,械制造类科研研发相关工作背景，精通传动设备设计理论知识，具备丰富的工业传动设备研发经验。,2,面议,面议,面议,均可,国内,,
,齿轮技术专家,机械类,不限,博士,不限,械制造类科研研发相关工作背景，精通传动设备设计理论知识，具备丰富的工业传动设备研发经验。,不限,面议,面议,面议,柔性,国内,,
天津市天矿电器设备有限公司,电气技术专家, 自动化,55岁以下,不限,高工,具有3年以上本岗工作经验，对矿用产品熟悉，对行业产品有超前意识。具有独立的产品设计、开发、革新、改良能力和解决生产上的技术问题能力；能熟练使用CAD\CAXA\PRO-E绘图软件及常用办公软件。,2,面议,无,无,柔性,国内,北辰区,
,机械技术专家,机械制造或机电一体化,55岁以下,不限,高工,对矿用产品熟悉，对行业产品有超前意识。能熟练使用CAD\CAXA\Pro-E绘图软件及常用办公软件，解决生产中出现的质量问题。,2,面议,无,无,柔性,国内,,
,市场营销专家,不限,55岁以下,不限,经济师,"具有3年以上本岗工作经验；组织/协调能力强,能合理调配利用人员；熟练使用计算机；具有敏锐的洞察市场能力和丰富的营销策划经验。担任过煤矿系统矿长等优先。",2,面议,无,无,柔性,国内,,
天津中荣印刷科技有限公司,研究生,物流,,硕士,工程师,印刷、包装、工业工程、物流、数理统计等相关专业；有5年以上相关工作经验，有研发，开发，创新能力。具备良好的组织计划能力与分析能力；责任心强，工作积极主动，具备良好的团队合作精神。,1,面议,无,无,刚性,国内,北辰区,
,,工业催化,,,,,2,,无,无,刚性,不限,,
,,化工工程,,,,,2,,无,无,刚性,不限,,
,,软件开发,,,,,3,,无,无,刚性,不限,,
,,电子信息,,,,,1,,无,无,刚性,不限,,
,,嵌入式设计,,,,,1,,无,无,刚性,不限,,
,,流体力学,,,,,2,,无,无,刚性,不限,,
,,核技术应用,,,,,2,,无,无,刚性,不限,,
中国北方发动机研究所,柴油机高效燃烧技术研究,动力机械工程相关,45岁以下,博士,高级 ,在海外知名高校、科研机构或企业研发机构从事相关专业研究5年工作经历。主持过重大技术或产品开发项目不少于2项。,1,35, 视项目情况而定,面议,刚性,海外,北辰区,
,柴油机高压燃油供给技术研究,动力机械工程及相关,45岁以下,硕士,高级 ,在国内外知名高校、科研机构或企业研发机构从事相关专业研究五年以上工作经历。主持过重大技术或产品开发项目不少于2项。,1,面议,面议,面议,刚性,国内,,
天津七所高科技有限公司,机械工程师,机械类,不限,硕士,不限,机械设计制造及其自动化、机械相关类专业；具有机械产品设计开发经验，具备较强的标准及非标产品设计能力，能够熟练使用AUTOCAD、SolidWORKS、CATIA等设计软件；具有很强的实际操作能力、在工程现场独立解决问题的能力、良好的沟通能力和团队协作精神；能够适应经常性出差。,2,面议,无,无,刚性,国内,北辰区,
,电气工程师,电气类,不限,硕士,不限,电气自动化相关类专业；掌握西门子、三菱等主流PLC编程，能够熟练使用AUTOCAD软件；具有很强的实际操作能力、在工程现场独立解决问题的能力、良好的沟通能力和团队协作精神；能够适应经常性出差。,2,面议,无,无,刚性,国内,,
天津工程机械研究院,主任设计师,液压,30岁,硕士,中级,从事工程机械液压系统设计5年，熟悉挖掘机液压系统设计。机械设计、液压专业。可独立完成液压系统设计，具有一定带团队经验。掌握CAD、PRE设计计算机仿真等设计手段。,1,10,按需匹配,无,均可,国内,北辰区,
,主任设计师,液压,30岁,硕士,中级,从事轴向柱塞泵或液压多路换向阀设计5年。机械设计、液压专业。熟悉液压件制造工艺，独立完成工艺设计、改进能力，具有一定带团队经验。掌握CAD、PRE设计计算机仿真等设计手段。,1,10,按需匹配,无,均可,国内,,
,主任设计师,控制,25岁,博士,不限,电气传动、自动化控制专业。能独立完成车载电子系统的设计、测试等研究，具有智能系统硬件在回路仿真研究经验。,1,10,按需匹配,无,均可,国内,,
天津雷沃动力有限公司,CAE设计师,发动机,38-45岁,不限,高级工程师,具有8年以上发动机结构开发及性能、结构仿真分析经历。熟悉发动机CAE分析，会使用AVL仿真分析软件，能够独立开展相关业务并指导低层次人员开展工作；良好的英语听、说、读、写能力。,1,面议,无,无,刚性,国内,北辰区,
,应用工程师,发动机,35-45岁,不限,专家工程师,必须具有相关发动机开发工作5年以上工作经验。熟悉整车开发流程；具备较强的身体素质和丰富的协调处事经验；熟悉发动机开发、应用匹配、整车安装评估、测试、验证等业务。,1,面议,无,无,刚性,国内,,
,质量改进,内燃机,35-45岁,不限,专家工程师,具有发动机技术/工艺/质量10年以上工作经历。,1,面议,无,无,刚性,国内,,
天津市百利电气有限公司,技术主管,电气相关,36-50岁,不限,中级及以上,具有制造业5年及以上技术管理工作经验；5年及以上产品设计经验。具有电气制造专业理论知识，熟悉与低压电气行业相关的专业理论和产品开发程序；具有很强的技术水平、组织协调能力，合理调配项目中的各种资源；遇到产品的关键技术问题有自己独到的、合理的、行之有效的解决方法；具有较强的管理能力、判断和决策能力、人际沟通协调能力、计划与执行能力；能承受高强度、高压力的工作；具有较强的责任心和工作热情；能熟练使用计算机，熟练掌握Solid Edge、CAD和Protel软件；有低压电气行业经验者优先。优先考虑硕士及以上学位。,1,面议,面议,面议,刚性,国内,西青区,史祺        022-83963711
天津博瑞泰专用车科技有限公司,常务副总,机械,40岁,不限,中级,制造型企业5年本岗工作经验。具有团队建设能力，具有大型项目操作经验业绩。,1,18,提供,提供,均可,不限,西青区,冯海鸥      022-83983372
,销售副总,营销,38岁,不限,中级,具有海外工作经历，从事销售工作5年。了解外贸运作流程，英语口语流利。,1,12,提供,提供,均可,不限,,
,技术总监,机械,38岁,不限,中级,机械制造行业5年工作经验，具有项目实施业绩。具有机械软件使用能力，精通机械构造传动原理，具有创新、开发能力。,1,12,提供,提供,均可,不限,,
依蒂尔申达汽车零部件（天津）有限公司,项目经理,工程技术相关,35岁,不限,不限,具有10年汽车行业技术工作经验，5年项目管理工作经验。有良好的英语读写能力；项目沟通管理能力。,1,12,面议,面议,均可,不限,西青区,刘桂爽18802231496
飞狐信息技术（天津）有限公司,Java开发工程师,计算机，网络工程,25岁以下,硕士,不限,应届生或具有3年工作经验，具有较强的专业知识与技能，拥有J2EE开发经验者优先。,4,15,无,无,均可,国内,开发区,张金华18622502165
宜科（天津）电子有限公司,产品经理,自动化、机电、测控相关,不限,不限,不限,具有5年工作经验，具有扎实的电气控制与机械方面的知识和经验，从事过技术服务性质的工作者优先。良好的英文技术资料阅读能力；具有敬业精神和较强的人际沟通能力。,2,9.6,面议,面议,刚性,国内,西青区,刘薇        022-23788282
,电气自动化工程师,自动化、机电一体化相关,不限,不限,不限,"具有5年汽车、冶金、污水、水泥等任一行业中工艺自动控制工程项目经验。熟悉西门子、Rockwell AB、施耐德等自动化产品；熟练运用品牌的PLC进行工程绘图、系统集成、行业应用软件编程、现场安装调试施工指导；较强的表达能力和人际沟通能力,对新产品有快速学习能力；能胜任在全国各地出差，能熟练使用英文或德文进行口语交流者优先。",5,9.6,面议,面议,刚性,国内,,
,非标机械设计工程师,机械、自动化相关,不限,不限,不限,具有5年非标自动化设备设计经验，能独立完成设备机械图纸设计、机械零件图纸设计、装配调试熟悉加工工艺。熟练CATIA、SolidWorks、CAD等设计软件；优秀的团队精神并注重结果，反应敏捷；能胜任在全国各地出差，能熟练使用英文或德文进行口语交流者优先。,2,9.6,面议,面议,刚性,国内,,
,大项目经理,机械、自动化相关,不限,不限,不限,具有5年自动化设备设计经验，能独立完成设备机械方案设计、电气方案设计、熟悉加工工艺。优秀的团队精神并能协调各部门工作安排，优秀的沟通协调能力；对市场动态敏感，能熟练使用英文或德文进行口语交流者优先。,2,9.6,面议,面议,刚性,国内,,
,电子研发工程师,自动化、测控、电子相关,不限,不限,不限,"深入了解嵌入式系统硬件开发环境，熟悉电路设计，具有高速电路设计、多层板设计和调试经验。数字逻辑电路和模拟电路基础良好,具有较强的电路分析能力；熟悉各种嵌入式处理器，具有高端微处理、ARM和FPGA实际开发工作经验；熟悉EDA软件，熟悉C与程序设计方法，能独立编写硬件测试程序；工作认真主动，态度积极，具有强烈的责任心，良好的团队协作和沟通能力；有激光测距、激光传感器开发经验者优先录取。",2,9.6,面议,面议,刚性,国内,,
天津光电集团有限公司,无线通信研发,通信、电子,25-40岁,硕士及以上,不限,具有海外学历或工作经历，或国内知名院校毕业。有相关项目经验者优先。擅长短波、超短波或微波波段无线通信系统、链路或架构技术研发工作，技术方向不限（FPGA、中射频、嵌入式、硬件等）。,1,面议,无,宿舍,均可,不限,河西区,赵剑秋 28261373
,计算机软件研发,通信、电子、计算机,25-40岁,硕士及以上,不限,具有海外学历或工作经历，或国内知名院校毕业。有相关项目经验者优先。擅长电子通信产品PC端应用软件、底层协议软件或系统设计研发工作。,1,面议,无,宿舍,均可,不限,,
,信息安全研发,通信、电子、计算机,25-40岁,硕士及以上,不限,具有海外学历或工作经历，或国内知名院校毕业。有相关项目经验者优先。擅长网络数据通信、手机通信数据加密等技术研发工作。,1,面议,无,宿舍,均可,不限,,
天津七六四通信导航技术有限公司,卫星导航设计师,通信、电子类,不限,硕士及以上,中级及以上,具有3年以上工作经验。对卫星导航定位算法、抗干扰算法、接收机等有深入研究。,3,面议,根据项目确定,面议,均可,不限,高新区,范海洋     022-88261803
天津通信广播集团有限公司,嵌入式软件开发工程师,通信、电子,25-38岁,硕士及以上,工程师以上,具有3年以上工作经验。精通VisualC++、C/C++、高级语言编程、嵌入式操作系统。,3,面议,根据项目确定,单身宿舍,均可,不限,河北区,马越   26237636
,数字电视应用开发工程师,电子、计算机、通信,25-38岁,硕士及以上,工程师以上,"具有3年以上工作经验。精通C,C++编程, Linux操作系统及开发环境，SVN等版本控制工具，熟悉项目管理和软件生命周期开发过程。",2,面议,根据项目确定,单身宿舍,均可,不限,,
,硬件开发工程师,通信、电子,25-38岁,不限,工程师以上,具有3年以上工作经验。精通数字电路或模拟电路知识，较强的电路设计、调试能力，精通各种测试仪器。,3,面议,根据项目确定,单身宿舍,均可,不限,,
天津中环半导体股份有限公司,IGBT项目储备,电子技术、电子信息工程、电力、微电子学等,25-35岁,硕士,不限,有半导体IGBT产品相关的研发工作经验，熟悉产品应用环境，并了解竞争产品情况。以IGBT产品的研发产业化为主要工作内容，加强项目组产品开发推广的技术能力。IGBT产品版图与工艺设计其相关工作；IGBT产品开发过程中的关键单步工艺、工艺整合、流片和测试分析工作等。,5,12,面议,无,均可,不限,高新区,夏斌13682056356
天津普林电路股份有限公司,工艺技术高级工程师,化学，高分子材料，机械等相关,不限,不限,高级工程师优先,有相关行业工作经验；对电镀、印刷阻焊等电路板制造关键工艺有相关经验的优先。能够培育团队并指导团队快速解决产品技术问题；精通电路板制造相关的工艺原理及流程控制，或有独到见解的。,2月3日,面议,按需协商配置,面议,均可,不限,滨海新区,周莉莉13820421511
天津博瑞泰电子有限公司,销售副总,营销,38岁,不限,中级,从事销售工作5年。具有与国内大型家电企业合作经验，具有开发能力，团队建设能力。,1,12,提供,提供,均可,不限,西青区,刘薇        022-23788282
,技术总监,机械,38岁,不限,中级,制造行业5年工作经验，具有项目实施业绩。具有机械软件使用能力，丝网行业工作经历，对国内丝网行业发展具有敏感性，具有创新、开发能力。,1,12,提供,提供,均可,不限,,
天津市东明电子工业有限公司,注塑或模具工程师,机械制造与自动化,35-45岁,不限,中级及以上,具有10年以上注塑现场调试、管理经验及自动化设备研发经验。熟练掌握注塑机生产、模具制造原理，调机及分析的能力强，可自行研发自动化设备。,1,面议,面议,提供员工宿舍,均可,不限,西青区,王玉林      022-83983322
,高级技师,机械制造与自动化,35-40岁,不限,高级技师,8年以上注塑现场调试经验及自动化设备研发经验。熟练掌握注塑机生产、模具制造原理，调机及分析的能力强，可自行研发自动化设备。,1,面议,面议,提供员工宿舍,均可,不限,,
天津卓郎科技发展有限公司,高级软件研发工程师,不限,不限,不限,不限,具有5年软件研发经历，至少3年Java使用经验。熟练掌握Java、JSP、XML、JavaScript、Html等开发语言；熟练掌握基于Web的应用程序开发；熟练运用主流开源框架Struts或Spring MVC、Spring IoC；熟悉软件工程理论，曾参与至少3个Java应用软件项目的设计；能熟练阅读英文资料。有互联网行业相关工作经验者优先。,5,10.8,无,无,刚性,不限,红桥区,范迎春 86516130
天津电气科学研究院有限公司,微网领域专家,电力系统,35-45岁,博士,不限,国内外知名高校毕业，在微网领域有较高知名度，主持过微网系统研究。,1,40,50,提供,柔性,海外,河东区,潘娜       022-84376206
,电力系统专家,电力系统,35-45岁,博士,不限,国内外知名高校毕业，在电气电力领域有较高知名度，主持过微网系统研究。,1,40,50,提供,柔性,海外,,
,逆变器领域专家,电力电子,35-45岁,博士,不限,在国内知名高校有过任职经历，主持过变频器研发。,1,5万元/年（兼）,20万元,无,柔性,国内,,
,DC/DC领域专家,电力电子,35-55岁,博士,不限,在国内知名高校有过任职经历，主持过开关电源研发。,1,,20万元,无,柔性,国内,,
,研发高级工程师,伺服驱动,30-55岁,不限,高级工程师,伺服驱动变频器产品主要研发者。有产品研发经验、独立研发能力、团队合作精神。所研发伺服驱动变频器产品已投入市场，达到国际先进水平。,1,面议,100万元,无,刚性,国内,,
,高级架构师,软件工程相关,40岁以下,硕士,不限,重点院校计算机软件或相关专业硕士研究生；大型软件公司4年工作经验。设计并管理过100元级别的软件项目，成功上线并持续运行；对企业级软件项目开发涉的所有技术领域都有所涉猎，包含服务器、存储、网络等硬件以Firmware、OS、应用等软件，彻底地理解项目需求，开展分析设计之类软件工程活动等；对Vmware、Citrix、MS等虚拟化，云平台有较为深入的理解和二次开发经验；精通构架设计的理论、实践和工具；具有优秀的沟通能力。,1,20,20元,无,刚性,国内,,
天津天海同步集团有限公司,机械工程师,机械,不限,不限,工程师以上,具有5年以上相关工作经验。,10,面议,无,无,均可,不限,静海县,孙大明 68609782
,质量工程师,质量管理,不限,不限,工程师以上,具有5年以上相关工作经验。,2,面议,无,无,均可,不限,,
软通动力信息技术有限公司,高级销售总监,系统集成、计算机,30-35岁,不限,不限,有IT行业软硬件销售经验；系统集成项目销售经验。,2,30,无,无,刚性,国内,保税区,王莲   24892222
浙江大学滨海产业技术研究院,科研管理部,工科优先,不限,博士,副主任 ,有经验优先。有较强的科研工作和管理协调能力。,1,面议,无,无,均可,不限,高新区,苏航       022-59901553
,,,,硕士及以上,项目主管,,3,面议,无,无,均可,不限,,
,技术转移中心,工科优先,,硕士及以上,项目主管,参与研发项目或具有产业研发经验。独立或协助策划、组织科技项目的申报。撰写相关文稿，负责技术转移、科技咨询、知识产权服务、科技培训。,1,面议,无,无,均可,不限,,
,国际绿色创新研究中心,计算机相关,不限,硕士及以上,项目主管,具有5年以上互联网行业应用系统开发经验。熟练掌握java语言，熟悉Struts、Spring、Hibernate等主流框架；精通Web及前端技术（包括Javascript、ajax、json、jQuery、extJS等开发框架）；熟练操作Oracle、MS SQLSERVER等主流数据库技术，并擅长SQL优化。,1,面议,无,无,均可,不限,,
,,,不限,,技术支持工程师,"具有1年以上SQL Server/Oracle 数据库管理和运维经验,熟悉SQL语言,有数据库设计或性能优化的经验。熟悉Windows,Linux/Unix服务器操作系统,具有一定的系统安装、配置及维护能力，负责产品及系统的现场部署、调试与客户培训、客户需求文档的整理归档、客户安装调试报告及验收报告的签收工作。",5,面议,无,无,均可,不限,,
,智能检测研究中心,计算机相关,不限,硕士及以上,电子电路设计工程师,电子类工作经验3年以上。熟悉dsp、FPGA、ARM、CPLD等开发技术至少两种以上，并具有相关经验；熟练运用protel、cadence等绘图软件及PCB设计；熟悉电磁兼容与干扰设计及可靠性设计原理；熟悉C、C++编程与调试。,2,面议,无,无,均可,不限,,
,,电子相关,不限,,电子电路调试工程师,电子类工作经验1年以上。熟悉pcb绘图与设计；熟悉c51、dsp、fpga、arm等的调试方法至少一种。,3,面议,无,无,均可,不限,,
,,电子相关,,硕士及以上,软件工程师,熟悉C/C++，C#或者Java熟悉嵌入式开发（优先）。,2,面议,无,无,均可,不限,,
,,,,,相控阵超声项目工程师,深刻理解超声导波的原理，熟练使用超声导波相关的仿真软件。,2,面议,无,无,均可,不限,,
,,,,,Java开发工程师,"精通Java开发，精通性能调优；熟悉J2EE，JAVAWEB编程技术,对各种开源的框架如Spring、Hibernate等有深入的应用和优化经验。熟悉数据库（MySql，Oracle）使用，设计，调优。熟练掌握各类常用数据结构和相关算法。",4,面议,无,无,均可,不限,,
,,,不限,,C#开发工程师,精通.Net平台和C# WinForm开发，熟练掌握ADO.net相关技术，具有4年以上相关工作经验熟练C#中HTTPWebservice等相关网络开发技术和XML相关技术。熟练SQL编写，至少熟练使用MS SQL Server、Oracle和MySQL中的一种熟练掌握C#中的反射和依赖注入等技术。,2,面议,无,无,均可,不限,,
,软件研发总监,计算机、网络、软件,33岁以上,不限,中级,具有8年以上软件研发经验。可负责软件架构，并合理安排团队人员进行项目研发。,2,面议,面议,无,均可,不限,,
,董事长特别助理,中文、国际贸易、秘书类,25岁,不限,不限,具有3年以上总经理（总裁或董事长）助理经验。有良好的统筹安排能力、文笔书写能力佳、流利的英文、能出差。,1,面议,无,无,均可,不限,,
,公共事务部部长,不限,30岁以上,不限,不限,具有5年以上政府支持项目申报经验。了解国家和本地区的政策法规、熟悉政府项目的相关办理流程及人员、能独立申请项目。,1,面议,无,无,均可,国内,,
,网络策划部部长,中文类,25岁以上,不限,不限,具有3年以上网络推广、网络销售经验。了解网络媒体的推广方式、能独立策划实施产品的网络销售模式。,2,面议,无,无,均可,国内,,
天津游爱网络技术有限公司,程序,计算机,不限,不限,不限,至少具有3年相关工作经验，具有手游行业主程能力。,1月2日,20.4,无,无,均可,不限,高新区,王志鸾15522946566
未来电视有限公司,副总经理,计算机类,40-50岁,硕士,不限,知名互联网企业技术管理高管岗位任职经验。熟悉音视频、CDN等技术系统。,1,60,无,提供,均可,海外优先,保税区,季武15901203885
,技术经理/总监,计算机类,40-50岁,硕士,不限,具有知名互联网企业技术管理高管岗位任职经验，熟悉音视频、CDN等技术系统。,3,60,面议,提供,均可,不限,,
中国电子科技集团公司第五十三研究所,专业技术研发,电子信息工程、电路与系统、信号处理/图像处理、软件工程,30岁以下,硕士,不限,具有电子信息系统、电路系统设计、信号图像识别处理、软件系统集成设计等的自主研发能力。,6,3.6,无,博士提供一次性住房补贴周转性住房,均可,国内,保税区,孙成元    0416-2814774
,专业技术研发,红外、光电子、激光、光学/光学结构设计,30岁以下,硕士,不限,具有从事光电、激光器等产品设计，以光学/光学机构设计、加工、装调等的研发能力。,4,3.6,无,,均可,国内,,
,专业技术研发,机械制造其自动化、控制制导与控制技术,30岁以下,硕士,不限,具有从事机械结构系统结构工艺的自主研发能力，以从事系统控制精密光机控制的研发能力。,4,3.6,无,,均可,国内,,
,专业技术研发,火炮、自动武器与弹药技术、兵器发射理论与技术,30岁以下,硕士,不限,具有弹药结构、烟火药剂特殊材料设计的研发能力。,2,3.6,无,,均可,国内,,
,专业技术研发,计算数学,30岁以下,硕士,不限,具有从事软件算法、仿真模拟的自主研发能力。,1,3.6,无,,均可,国内,,
天津子牙循环经济产业区管理委员会,技术研发,化学工程,35岁以下,博士,高级工程师,循环经济工作3年以上工作经验。拥有自主发明专利和技术。,1,面议,无,无,刚性,国内,静海县,汤桂兰 68713202
,技术研发,机械化设计与自动化,35岁以下,博士,高级工程师,循环经济工作3年以上工作经验。拥有自主发明专利和技术。,1,面议,无,无,刚性,国内,,
天津宇光光学有限公司,高级光学工程师,物理,35岁,硕士,不限,具有3年以上工作经验。有优秀管理能力。,1,面议,无,无,柔性,国内,高新区,孔祥鸣 23724960
精武镇,创新创业人才,新能源新材料、环保科技,不限,硕士及以上,中级及以上,拥有自主知识产权和发明专利，本人或率团队来本镇创新创业的专业技术人才。行业内业绩、能力突出，获得同行公认或有成功创办领办企业经验。,2,面议,面议,面议,不限,不限,西青区,张天伦15022784566
天津市津安创新金属制品有限公司,销售总监,市场营销,30-45岁,不限,不限,具有8年以上相关工作经验，有销售团队管理经验，业绩突出。,1,面议,无,无,刚性,国内,北辰区,王伟   86810555
,技术总监,材料,30-45岁,不限,不限,具有8年以上相关工作经验，有技术团队管理经验，懂立体车位的研发、生产技术。,1,面议,无,无,刚性,国内,,
天津市辰泰新材料集团有限公司,工艺工程师,冶炼、有色金属压延类相关,33-45岁,不限,工程师,"具有8年有色金属加工企业相关工作经验。依据公司各项管理规定、工艺技术规程,承担轧钢、脱脂清洗、平整等工艺技术规程审定、优化检查、考核，质量异议、质量事故的分析纠正预防措施的制定、技术合同评审等工作，给领导决策提供技术信息支持，保障各条生产线生产工艺的稳定。",1月2日,12,无,宿舍,刚性,国内,北辰区,
,机械工程师,机械工程类相关,33-45岁,不限,工程师,具有8年机械设备维护、检修工作经验。能够熟悉诊断和处理设备的故障，制定点检定修技术标准，指导基层点检定修工作的开展，通过技术改造和加强维护，降低设备故障率，降低维修费用熟练掌握机械、液压原理、机械加工工艺、机械测量工具使用知识；熟练操作CAD绘图以Office办公软件。,1月2日,12,无,宿舍,刚性,国内,,
,电气工程师,电气工程类相关,33-45岁,不限,工程师,具有8年压延加工企业相关同岗位工作经验。精通Pro-E、CAD等相关技术软件和办公软件；精通电气控制理论，了解控制单元器件以机械传动，液压、拨动相关知识，西门子PLC控制；熟悉冶金设备，特别是冷轧行业的相关专业者优先；工作认真负责，严谨细致，有良好的团队精神和沟通协调能力。,1月2日,12,无,宿舍,刚性,国内,,
,质量工程师,冶金或金属材料学类相关,33-45岁,不限,工程师,具有8年压延加工企业相关同岗位工作经验。协助建立和完善质量管理体系并贯彻实施；建立本厂检测质量管理档案；负责进行质量管理培训和指导内部质量管理审核；负责进料、生产过程中产品和成品的质量检验和质量保证；指导下属实施标准，更好的落实质量标准要求；组织对质量事故进行分析、处理，提出改进措施，建立质量事故处理档案；熟悉质量管理和质量体系运行，熟悉产品技术工艺质量方面的要求标准。,1月2日,12,无,宿舍,刚性,国内,,
,液压工程师,电气工程类相关,33-45岁,不限,工程师,具有8年压延加工企业相关同岗位工作经验。负责集团内机械液压设备的技术管理工作；处理解决机械液压设备技术难题，确保设备正常运行；参与技改、措施项目方案、技术参数审定项目的实施工作。熟悉设备技术管理点检定修管理；有相应机械液压一体工作经验，能时判断分析、处理解决设备运行中遇到的技术难题；熟悉轧钢行业相关液压设备。,1月2日,12,无,宿舍,刚性,国内,,
天津联欣盈塑胶科技有限公司,高级管理人员,企业管理,33岁以上,硕士及以上,副总经理,具有5年以上工作经验，懂得注塑行业专业技术。,1,面议,面议,面议,均可,不限,西青区,任富疆      022-27949222
天津忠旺铝业有限公司,研发,金属材料,40岁以下,博士,研发工程师,知名大学或研究院（所）毕业，有优秀的研发理念；研发思路清晰，研发方向为铝合金或对铝合金有了解的优先。,10,12,无,提供,刚性,国内,武清区,李志刚13752378058
