炉号,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C_Yield,Mn_Yield
7A06878             ,HRB400B    ,1644,0.00065,0.0011,0.0003,0.00014,0.004,74400,0.0023,0.0133,0.0003,0.00018999999999999998,0.0033,0.466,0.0027,0.008,0.021,0.033,0.0052,0.0029,0.0026,0,0,10,0,32,25,0,0,0,0,0,85,1547,0,88,0,0.9134050902467444,0.8836379778973683
7A06877             ,HRB400B    ,1543,0.0007700000000000001,0.0011,0.00039,0.00021,0.004,74200,0.0023,0.0137,0.0003,0.00027,0.0038,0.474,0.0033,0.009000000000000001,0.024,0.031,0.0082,0.0058,0.0029,0,0,4,0,40,25,0,0,0,0,0,68,1530,0,132,0,0.8665180820370342,0.9202693125442948
7A06876             ,HRB400B    ,1684,0.00035,0.0011,0.00023999999999999998,0.0002,0.004,78250,0.0023,0.013000000000000001,0.00027,0.00021,0.0035,0.46299999999999997,0.0034,0.009000000000000001,0.02,0.034,0.0052,0.0029,0.0028,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,1.012027935851009,0.9671530951391774
7A06875             ,HRB400B    ,1674,0.00047999999999999996,0.0012,0.00036,0.0003,0.004,73600,0.0022,0.0131,0.00037999999999999997,0.00026000000000000003,0.0037,0.45399999999999996,0.0033,0.009000000000000001,0.023,0.033,0.0045,0.0023,0.004,0,0,4,0,40,50,0,0,0,0,0,85,0,1450,132,0,0.8672229301108418,0.9096800997091816
7A06874             ,HRB400B    ,1800,0.00036,0.0009,0.00028,0.00025,0.004,72400,0.0024,0.0133,0.00027,0.00025,0.0038,0.478,0.0037,0.01,0.019,0.034,0.0048,0.0026,0.0033,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,0.9795853396474193,0.9324470294972995
7A06873             ,HRB400B    ,1660,0.00022,0.0007,0.00037999999999999997,0.00014,0.004,70350,0.0023,0.0132,0.00035,0.00016999999999999999,0.0037,0.465,0.0027,0.009000000000000001,0.023,0.033,0.0041,0.0019,0.0034,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,0.9705121572684946,0.9133516825924387
7A06872             ,HRB400B    ,1654,0.0007,0.0012,0.0002,0.00013000000000000002,0.004,77800,0.0023,0.0128,0.00035,0.00028,0.0034,0.45799999999999996,0.003,0.008,0.02,0.032,0.0038,0.0016,0.0019,0,0,5,0,41,50,0,0,0,0,0,58,0,1500,132,0,1.029550787340032,0.9061044176706827
7A06871             ,HRB400B    ,1666,0.00063,0.0014,0.00025,0.00031,0.004,73050,0.0024,0.0134,0.00028,0.00026000000000000003,0.0038,0.478,0.003,0.009000000000000001,0.02,0.032,0.0044,0.0022,0.0029,0,0,4,0,40,50,0,0,0,0,0,80,0,1450,132,0,0.9158804029070508,0.9104694640631491
7A06870             ,HRB400B    ,1666,0.00106,0.0009,0.00022,0.00011999999999999999,0.004,74300,0.0022,0.0135,0.00031,0.00028,0.0038,0.46,0.003,0.008,0.02,0.034,0.0068,0.0044,0.0034,0,0,5,0,40,25,0,0,0,0,0,58,0,1580,132,0,0.6927795589871099,0.8923478725026688
7A06869             ,HRB400B    ,1658,0.00043,0.0011,0.00028,0.00021,0.004,74850,0.0024,0.0132,0.00028,0.00022,0.0036,0.474,0.0025,0.008,0.018000000000000002,0.033,0.005,0.0027,0.0022,0,0,5,0,41,75,0,0,220,0,0,85,0,1330,132,0,0.9984926572908053,0.8799893120870578
7A06868             ,HRB400B    ,1662,0.0005,0.0016,0.00022999999999999998,0.0003,0.004,81350,0.0023,0.0136,0.00022999999999999998,0.00033999999999999997,0.0037,0.47,0.0026,0.006999999999999999,0.015,0.031,0.0052,0.0029,0.0026,0,0,5,0,42,75,0,0,220,0,0,85,0,1490,132,0,0.9736024287201743,0.8597548087085182
7A06867             ,HRB400B    ,1660,0.00042,0.0013,0.00023999999999999998,0.00027,0.004,73850,0.0023,0.0135,0.00027,0.00031,0.0037,0.46799999999999997,0.0023,0.006999999999999999,0.019,0.033,0.0054,0.0031,0.0026,0,0,5,0,40,50,0,0,200,0,0,85,0,1590,132,0,0.91488856965879,0.7580349330282022
7A06866             ,HRB400B    ,1670,0.00072,0.0015,0.00027,0.00033,0.004,74200,0.0023,0.0135,0.00028,0.00027,0.0037,0.467,0.0021,0.006,0.011000000000000001,0.033,0.0055,0.0033,0.0025,0,0,4,0,40,25,0,0,220,0,0,68,0,1310,0,0,1.28247314415735,0.8764469643278998
7A06864             ,HRB400B    ,1655,0.00045999999999999996,0.001,0.00032,0.00041,0.003,70000,0.0022,0.0131,0.0003,0.00031,0.0039,0.452,0.0024,0.006999999999999999,0.016,0.032,0.0047,0.0024,0.003,0,0,4,0,39,75,0,0,0,0,0,85,0,1520,132,0,0.8276655008225692,0.8392121116043119
7A06862             ,HRB400B    ,1651,0.00041,0.0011,0.00037,0.00028,0.003,70000,0.0023,0.0131,0.00037,0.00029,0.0036,0.462,0.0025,0.005,0.015,0.032,0.004,0.0018,0.0027,0,0,5,0,40,50,0,0,200,0,0,93,0,1400,132,0,0.8469693477759853,0.7906626506024096
7A06861             ,HRB400B    ,1679,0.0004,0.0013,0.00021,0.00026000000000000003,0.003,70100,0.0024,0.0136,0.00027,0.00029,0.0037,0.48100000000000004,0.0027,0.006,0.017,0.033,0.0039,0.0017,0.0031,0,0,4,0,38,50,0,0,200,0,0,90,0,1300,132,0,0.9246935386214548,0.8656927710843373
7A06860             ,HRB400B    ,1618,0.00054,0.0012,0.00026000000000000003,0.00033,0.003,67400,0.0023,0.0131,0.00028,0.00022999999999999998,0.0036,0.462,0.0022,0.006,0.015,0.035,0.0054,0.0031,0.0039,0,0,7,0,44,50,0,0,200,0,0,102,0,1450,132,0,0.7158685482274673,0.732073749543629
7A06859             ,HRB400B    ,1643,0.00067,0.0011,0.00031,0.00018999999999999998,0.004,64700,0.0024,0.0129,0.00032,0.0002,0.0037,0.469,0.0025,0.005,0.017,0.033,0.0044,0.0022,0.0033,0,0,4,0,40,25,0,0,200,0,0,75,0,1270,132,0,0.8187237590883155,0.7821694943037455
7A06858             ,HRB400B    ,1662,0.00067,0.0012,0.00037999999999999997,0.00021,0.004,69800,0.0023,0.0131,0.00033,0.00035,0.0036,0.462,0.0026,0.006999999999999999,0.013999999999999999,0.034,0.0039,0.0017,0.0033,0,0,7,0,44,25,0,0,200,0,0,75,0,1430,132,0,0.8158977212749845,0.7674440091654963
7A06857             ,HRB400B    ,1661,0.00067,0.0014,0.00035,0.00035,0.003,63300,0.0023,0.013000000000000001,0.00029,0.00022999999999999998,0.0037,0.46,0.0024,0.006,0.018000000000000002,0.033,0.0043,0.0021,0.0034,0,0,4,0,40,25,0,0,200,0,0,75,0,1280,132,0,0.7537696151485929,0.7471914685770108
7A06856             ,HRB400B    ,1646,0.00067,0.0011,0.00035,0.00028,0.004,70100,0.0022,0.0129,0.00037,0.00029,0.0037,0.449,0.0027,0.005,0.015,0.033,0.0046,0.0023,0.0031,0,0,4,0,40,0,0,0,200,0,0,70,0,1340,132,0,0.8057834475297511,0.8089305273040213
7A06855             ,HRB400B    ,1645,0.0006799999999999999,0.0014,0.00026000000000000003,0.00032,0.003,67500,0.0022,0.0131,0.00039,0.00025,0.0038,0.452,0.0025,0.006,0.017,0.032,0.1953,0.1559,0.0036,0,0,4,0,40,25,0,0,200,0,0,68,0,1330,132,0,0.7831224143984611,0.7773742026931254
7A06854             ,HRB400B    ,1642,0.00033999999999999997,0.001,0.00033999999999999997,0.00022,0.003,70000,0.0024,0.013000000000000001,0.00037,0.00026000000000000003,0.0037,0.47,0.0025,0.005,0.015,0.032,0.004,0.0018,0.0032,0,0,4,0,40,50,0,0,200,0,0,93,0,1300,132,0,0.9333091699891265,0.8433734939759038
7A06853             ,HRB400B    ,1648,0.0009699999999999999,0.0015,0.00018,0.00029,0.003,68400,0.0024,0.0133,0.00035,0.00018999999999999998,0.0039,0.47600000000000003,0.0024,0.008,0.017,0.034,0.0047,0.0025,0.0031,0,0,4,0,38,25,0,0,200,0,0,51,0,1230,132,0,0.8656863838396711,0.8500294885837053
7A06852             ,HRB400B    ,1662,0.00067,0.0011,0.00041,0.00027,0.002,62900,0.0023,0.013000000000000001,0.00037999999999999997,0.00022,0.0037,0.46,0.0023,0.006999999999999999,0.016,0.032,0.0044,0.0022,0.0028,0,0,4,0,40,50,0,0,200,0,0,68,0,1310,132,0,0.7846013744126604,0.7465391366791669
7A06851             ,HRB400B    ,1689,0.0013800000000000002,0.0011,0.00016,0.00021,0.002,63500,0.0024,0.0133,0.00031,0.00022,0.0037,0.474,0.0021,0.005,0.013000000000000001,0.032,0.0045,0.0023,0.0034,0,0,4,0,40,0,0,0,200,0,0,34,0,1300,132,20,0.6326564039916892,0.7778112449799196
7A06850             ,HRB400B    ,1660,0.00065,0.0008,0.00029,0.00015,0.002,66400,0.0024,0.013000000000000001,0.00032,0.0002,0.0036,0.47,0.0024,0.008,0.01,0.033,0.0044,0.0022,0.0027,0,0,4,0,38,25,0,0,200,0,0,75,0,1250,132,0,0.8521073156566286,0.8413793103448277
7A06849             ,HRB400B    ,1652,0.0007099999999999999,0.0009,0.0003,0.00023999999999999998,0.003,71500,0.0024,0.0134,0.00032,0.00025,0.0036,0.47600000000000003,0.0023,0.008,0.01,0.031,0.0038,0.0016,0.0023,0,0,10,0,32,25,0,0,200,0,0,68,0,1350,132,0,0.920092408999674,0.8683929265448892
7A06848             ,HRB400B    ,1707,0.00085,0.0013,0.00028,0.00022,0.003,72800,0.0023,0.0135,0.00032,0.00033999999999999997,0.004,0.46799999999999997,0.0022,0.006,0.013000000000000001,0.034,0.0055,0.0032,0.0021,0,0,11,0,33,0,0,0,0,0,0,51,1553,0,132,20,0.8827773817143588,0.8612945018968339
7A06847             ,HRB400B    ,1668,0.00066,0.0009,0.00036,0.00023999999999999998,0.002,70000,0.0023,0.0132,0.00032,0.00029,0.0035,0.462,0.0018,0.006,0.012,0.034,0.0056,0.0033,0.0024,0,0,10,0,32,25,0,0,0,0,0,68,1545,0,132,0,0.8747053203112977,0.8392794478886418
7A06846             ,HRB400B    ,1677,0.00033999999999999997,0.0007,0.00043,0.00028,0.002,70600,0.0024,0.0135,0.0003,0.00025,0.0036,0.478,0.002,0.006,0.013000000000000001,0.034,0.004,0.0018,0.0023,0,0,10,0,32,50,0,0,0,0,0,85,1508,0,132,0,0.9897968628347736,0.9024959253459461
7A06845             ,HRB400B    ,1689,0.0007,0.0011,0.00039,0.00032,0.002,74400,0.0023,0.013000000000000001,0.00032,0.00029,0.0036,0.45899999999999996,0.0022,0.005,0.012,0.033,0.0055,0.0032,0.0027,0,0,10,0,32,25,0,0,0,0,0,68,1496,0,132,0,0.9128050351503552,0.8912924424972617
7A06836             ,HRB400B    ,1651,0.0003,0.0005,0.00043,0.00016,0.003,71750,0.0023,0.0135,0.00035,0.00029,0.0038,0.469,0.0017,0.01,0.025,0.038,0.0053,0.003,0.0035,0,0,4,0,40,75,0,0,0,0,0,85,0,1450,132,0,0.9830517763437325,0.9687889488990444
7A06835             ,HRB400B    ,1648,0.00066,0.0011,0.00029,0.00021,0.004,74750,0.0024,0.0128,0.0003,0.00022,0.0036,0.465,0.002,0.004,0.01,0.033,0.004,0.0017,0.0022,0,0,4,0,40,25,0,0,0,0,0,68,0,1450,132,0,1.0031699754731822,0.9083662235147486
7A06834             ,HRB400B    ,1677,0.00073,0.0013,0.00028,0.00032,0.003,71700,0.0024,0.0135,0.00028,0.00023999999999999998,0.0037,0.47700000000000004,0.0017,0.005,0.018000000000000002,0.032,0.0045,0.0023,0.0023,0,0,4,0,40,25,0,0,0,0,0,68,0,1480,132,0,0.919908730524569,0.89012129599479
7A06833             ,HRB400B    ,1656,0.00054,0.0014,0.00036,0.00033,0.002,76100,0.0023,0.0134,0.00037999999999999997,0.00032,0.0036,0.465,0.002,0.005,0.011000000000000001,0.033,0.0051,0.0028,0.0021,0,0,32,0,0,50,0,0,0,0,0,80,0,1530,132,0,0.94049575170283,0.8988896763524686
7A06832             ,HRB400B    ,1672,0.00049,0.0014,0.00037,0.00027,0.003,72250,0.0023,0.0128,0.00026000000000000003,0.00018,0.0035,0.45399999999999996,0.0012,0.006,0.011000000000000001,0.033,0.0053,0.003,0.0024,0,0,31,0,0,50,0,0,0,0,0,85,0,1540,132,0,0.8873151038132719,0.8054784071350337
7A06829             ,HRB400B    ,1678,0.00033,0.0009,0.00026000000000000003,0.00016,0.003,72600,0.0022,0.0132,0.00028,0.0002,0.0036,0.451,0.0017,0.006,0.011000000000000001,0.033,0.0056,0.0033,0.0027,0,0,5,0,38,50,0,0,0,0,0,85,0,1460,132,0,0.9289998891457243,0.9211297243769598
7A06828             ,HRB400B    ,1640,0.00101,0.001,0.00035,0.00011999999999999999,0.002,70500,0.0023,0.0134,0.00027,0.00016,0.0038,0.465,0.0016,0.005,0.01,0.034,0.0052,0.003,0.0034,0,0,5,0,38,0,0,0,0,0,0,51,0,1450,132,20,0.7717560214367596,0.907976734524304
7A06827             ,HRB400B    ,1651,0.00072,0.0006,0.00036,0.0001,0.002,70450,0.0024,0.0129,0.00032,0.00016999999999999999,0.0035,0.466,0.0014,0.006,0.011000000000000001,0.034,0.0053,0.0031,0.0026,0,0,5,0,38,25,0,0,0,0,0,68,0,1440,132,0,0.914102649257247,0.9062656877510039
7A06826             ,HRB400B    ,1656,0.0007599999999999999,0.0007,0.00044,0.00011999999999999999,0.002,71150,0.0023,0.0127,0.00033,0.00014,0.0035,0.45299999999999996,0.0016,0.006,0.01,0.034,0.0046,0.0024,0.0023,0,0,5,0,28,25,0,0,0,0,0,68,0,1460,132,0,0.8442383971251315,0.8807146393794356
7A06825             ,HRB400B    ,1661,0.0006900000000000001,0.0007,0.00033,0.00016,0.002,69950,0.0023,0.0133,0.00033,0.0002,0.0037,0.46299999999999997,0.0015,0.005,0.01,0.033,0.0055,0.0032,0.0035,0,0,10,0,30,25,0,0,0,0,0,68,0,1500,132,0,0.8631632598315361,0.8849096385542168
7A06824             ,HRB400B    ,1667,0.00073,0.001,0.00025,0.00018999999999999998,0.003,70300,0.0023,0.0133,0.00035,0.00022999999999999998,0.0035,0.46299999999999997,0.0016,0.004,0.011000000000000001,0.031,0.005,0.0027,0.0022,0,0,10,0,30,25,0,0,0,0,0,51,0,1400,132,0,0.9814855984277875,0.9301742685025818
7A06823             ,HRB400B    ,1693,0.00072,0.001,0.00026000000000000003,0.0002,0.003,69250,0.0024,0.0135,0.00027,0.00021,0.0039,0.478,0.002,0.004,0.01,0.034,0.0059,0.0036,0.0052,0,0,32,0,0,25,0,0,0,0,0,68,0,1420,132,0,0.9017206634630287,0.9180648650941795
7A06822             ,HRB400B    ,1656,0.00108,0.0013,0.00022999999999999998,0.00033,0.003,75200,0.0024,0.0133,0.00028,0.00029,0.0037,0.473,0.0021,0.005,0.01,0.03,0.0047,0.0024,0.0022,0,0,10,0,30,0,0,0,0,0,0,51,0,1430,132,20,0.8449665039935218,0.9503749262785406
7A06821             ,HRB400B    ,1672,0.0007700000000000001,0.0007,0.00023999999999999998,0.00016,0.003,72300,0.0024,0.0134,0.00028,0.00023999999999999998,0.0035,0.47600000000000003,0.0023,0.005,0.011000000000000001,0.033,0.0057,0.0034,0.0027,0,0,10,0,30,25,0,0,0,0,0,51,0,1460,132,0,1.038564239951354,0.9471550585905265
7A06820             ,HRB400B    ,1647,0.0008,0.0006,0.00032,0.00013000000000000002,0.003,70400,0.0023,0.0133,0.00033999999999999997,0.00018,0.0038,0.466,0.0026,0.006,0.015,0.035,0.0047,0.0025,0.004,0,0,10,0,30,25,0,0,0,0,0,51,0,1460,132,0,0.9306178562301164,0.9222644000660174
7A06819             ,HRB400B    ,1677,0.0007700000000000001,0.0008,0.00025,0.00022999999999999998,0.003,70450,0.0023,0.0131,0.00025,0.00023999999999999998,0.0035,0.461,0.002,0.005,0.012,0.033,0.0045,0.0023,0.0026,0,0,10,0,30,25,0,0,200,0,0,54,0,1260,132,0,0.9263920999028817,0.8938510892886614
7A06818             ,HRB400B    ,1683,0.00086,0.0009,0.00022999999999999998,0.00021,0.003,75200,0.0024,0.0131,0.00023999999999999998,0.00023999999999999998,0.0036,0.47100000000000003,0.0022,0.005,0.011000000000000001,0.033,0.0052,0.0029,0.0026,0,0,10,0,30,25,0,0,200,0,0,51,0,1300,132,0,1.0144980859022539,0.9211244979919679
7A06817             ,HRB400B    ,1618,0.00093,0.0006,0.00037,0.00016,0.003,71700,0.0024,0.0129,0.00033,0.00018999999999999998,0.0035,0.466,0.0018,0.005,0.012,0.034,0.0046,0.0024,0.0026,0,0,10,0,30,25,0,0,200,0,0,68,0,1280,132,0,0.8099329147871791,0.8974173721914686
7A06816             ,HRB400B    ,1805,0.0007700000000000001,0.0011,0.00027,0.00027,0.003,74050,0.0023,0.0131,0.00029,0.00029,0.0035,0.461,0.0023,0.005,0.011000000000000001,0.031,0.0046,0.0024,0.0025,0,0,10,0,30,25,0,0,200,0,0,51,0,1280,132,0,0.9954618540939962,0.9042250081406707
7A06815             ,HRB400B    ,1672,0.0007599999999999999,0.0008,0.00029,0.00018,0.003,72000,0.0024,0.0131,0.00031,0.00021,0.0036,0.47,0.0018,0.005,0.011000000000000001,0.031,0.004,0.0018,0.0025,0,0,9,0,29,25,0,0,200,0,0,54,0,1270,132,0,1.013389129238868,0.9073026801081877
7A06814             ,HRB400B    ,1647,0.00042,0.0009,0.00025,0.00018999999999999998,0.003,72900,0.0023,0.0133,0.00033999999999999997,0.00023999999999999998,0.0036,0.465,0.0023,0.006,0.012,0.033,0.0051,0.0028,0.0027,0,0,10,0,30,50,0,0,200,0,0,95,0,1330,88,0,0.953717041397883,0.8897944720056696
7A06813             ,HRB400B    ,1659,0.0008,0.0012,0.00023999999999999998,0.00026000000000000003,0.003,73150,0.0024,0.0135,0.00028,0.00029,0.0036,0.478,0.0023,0.006,0.011000000000000001,0.033,0.0046,0.0023,0.0026,0,0,10,0,32,25,0,0,200,0,0,75,0,1300,88,0,0.943877057271337,0.9033584337349397
7A06812             ,HRB400B    ,1672,0.00059,0.0011,0.00025,0.00025,0.003,74000,0.0023,0.0138,0.00027,0.00029,0.0036,0.474,0.0025,0.006,0.013000000000000001,0.034,0.0041,0.0019,0.0036,0,0,10,0,32,50,0,0,200,0,0,90,0,1370,88,0,0.906517123101214,0.9015041055943519
7A06811             ,HRB400B    ,1657,0.0005200000000000001,0.0009,0.00022999999999999998,0.00018,0.003,75650,0.0024,0.0134,0.00028,0.00022999999999999998,0.0039,0.475,0.0021,0.005,0.012,0.033,0.0047,0.0025,0.0029,0,0,10,0,33,50,0,0,200,0,0,93,0,1340,88,0,1.0018293589213472,0.9247623611328432
7A06810             ,HRB400B    ,1687,0.00119,0.0014,0.00026000000000000003,0.00021,0.003,68300,0.0023,0.0132,0.00023999999999999998,0.00025,0.0035,0.462,0.002,0.006,0.01,0.033,0.0052,0.0029,0.0028,0,0,10,0,30,0,0,0,200,0,0,40,0,1300,88,20,0.7988148702380186,0.8091767068273091
7A06809             ,HRB400B    ,1664,0.0010400000000000001,0.0014,0.00022,0.00021,0.003,72800,0.0022,0.0132,0.00025,0.00026000000000000003,0.0035,0.45299999999999996,0.0022,0.006,0.012,0.035,0.0047,0.0025,0.003,0,0,10,0,30,0,0,0,200,0,0,51,0,1270,88,20,0.8045973472875169,0.8800917957544463
7A06808             ,HRB400B    ,1669,0.0006900000000000001,0.0014,0.00023999999999999998,0.00026000000000000003,0.003,72000,0.0023,0.0134,0.00027,0.0003,0.0034,0.467,0.0024,0.006,0.012,0.036000000000000004,0.0038,0.0016,0.0031,0,0,10,0,31,25,0,0,200,0,0,80,0,1260,88,0,0.9048043142118748,0.8912361775870606
7A06807             ,HRB400B    ,1669,0.0007099999999999999,0.0013,0.00033,0.00027,0.003,72150,0.0022,0.0133,0.00027,0.0003,0.0034,0.455,0.0025,0.006999999999999999,0.011000000000000001,0.034,0.0046,0.0023,0.0028,0,0,10,0,30,25,0,0,200,0,0,80,0,1300,88,0,0.8346998672288092,0.8692771084337348
7A06805             ,HRB400B    ,1675,0.0006,0.0011,0.00027,0.00021,0.003,71050,0.0023,0.0135,0.00027,0.00025,0.0035,0.467,0.0021,0.005,0.011000000000000001,0.033,0.0048,0.0025,0.0025,10,0,0,0,31,25,0,0,200,0,0,85,0,1300,88,0,0.9041057336254575,0.8845582329317269
7A06804             ,HRB400B    ,1663,0.001,0.0016,0.00028,0.0002,0.004,71500,0.0022,0.0133,0.00032,0.00021,0.0035,0.455,0.0024,0.009000000000000001,0.012,0.034,0.0051,0.0028,0.0028,0,0,10,0,31,0,0,0,200,0,0,51,0,1300,88,20,0.8135018848861427,0.8399096385542169
7A06802             ,HRB400B    ,1657,0.0006900000000000001,0.0008,0.00032,0.00011999999999999999,0.003,77900,0.0022,0.0134,0.00031,0.0002,0.0035,0.456,0.0018,0.006999999999999999,0.011000000000000001,0.035,0.0051,0.0028,0.0023,0,0,11,0,33,25,0,0,200,0,0,75,0,1330,88,0,0.9447179114031307,0.9661587526576896
7A06801             ,HRB400B    ,1651,0.00078,0.0014,0.00036,0.00033999999999999997,0.003,67050,0.0024,0.0139,0.00026000000000000003,0.00016999999999999999,0.0038,0.484,0.0019,0.005,0.011000000000000001,0.034,0.0049,0.0027,0.0026,0,0,10,0,30,25,0,0,200,0,0,68,0,1310,88,0,0.9248827090588623,0.8359181760153194
7A06800             ,HRB400B    ,1624,0.00053,0.0009,0.00031,0.00018,0.003,74050,0.0023,0.013000000000000001,0.00028,0.00018,0.0033,0.45799999999999996,0.0017,0.005,0.011000000000000001,0.033,0.0051,0.0029,0.0018,0,0,10,0,32,50,0,0,200,0,0,102,0,1320,88,0,0.8722826955021723,0.8877665266328473
7A06799             ,HRB400B    ,1669,0.0014,0.001,0.00022999999999999998,0.00026000000000000003,0.003,73100,0.0023,0.0137,0.00026000000000000003,0.00028,0.0037,0.47100000000000003,0.0021,0.01,0.012,0.035,0.0068,0.0042,0.0016,0,0,10,0,32,0,0,0,300,0,0,34,1278,0,88,20,0.7271296813149339,0.8860250889489516
7A06798             ,HRB400B    ,1673,0.00063,0.0011,0.00023999999999999998,0.00025,0.002,73850,0.0023,0.013000000000000001,0.00029,0.00029,0.0034,0.45799999999999996,0.0019,0.005,0.011000000000000001,0.033,0.0053,0.0033,0.0,0,0,10,0,33,25,0,0,300,0,0,85,0,1200,88,0,0.9231091081515811,0.8823443775100401
7A06797             ,HRB400B    ,1682,0.0009699999999999999,0.0007,0.00026000000000000003,0.00016999999999999999,0.002,75150,0.0023,0.0131,0.00027,0.00027,0.0034,0.46,0.0018,0.006,0.012,0.033,0.0062,0.0039,0.0017,0,0,11,0,33,0,0,0,300,0,0,51,0,1270,88,20,0.9370311349776811,0.8938876525209116
7A06796             ,HRB400B    ,1672,0.0007099999999999999,0.0012,0.00021,0.00018,0.002,75900,0.0023,0.0131,0.00028,0.00022,0.0036,0.46,0.0017,0.006999999999999999,0.011000000000000001,0.034,0.0065,0.004,0.0005,0,0,12,0,33,25,0,0,300,0,0,85,1285,0,88,0,0.8936202352805276,0.8582056934362053
7A06795             ,HRB400B    ,1679,0.00061,0.0011,0.00033,0.00029,0.002,74000,0.0024,0.0133,0.00032,0.00029,0.0035,0.474,0.0023,0.009000000000000001,0.009000000000000001,0.034,0.0064,0.004,0.001,0,0,10,0,32,25,0,0,300,0,0,85,1215,0,88,0,0.9895841893642485,0.8974511909022227
7A06794             ,HRB400B    ,1682,0.00067,0.001,0.00037999999999999997,0.00013000000000000002,0.002,70450,0.0023,0.0129,0.00033999999999999997,0.0002,0.0035,0.457,0.0019,0.009000000000000001,0.009000000000000001,0.034,0.0064,0.004,0.0002,0,0,10,0,30,25,0,0,300,0,0,51,1124,0,88,0,1.1522410973199144,0.8866452467172058
7A06793             ,HRB400B    ,1682,0.00082,0.0006,0.00031,0.00014,0.002,75500,0.0023,0.0131,0.00031,0.00022999999999999998,0.0034,0.46,0.0018,0.006999999999999999,0.01,0.034,0.0057,0.0036,0.0,0,0,10,0,30,0,0,0,300,0,0,68,0,1213,88,20,0.915842738945372,0.9393987051975251
7A06792             ,HRB400B    ,1689,0.0009199999999999999,0.0012,0.00028,0.00027,0.002,75500,0.0024,0.0134,0.00028,0.00028,0.0033,0.475,0.0017,0.006,0.012,0.035,0.0058,0.0036,0.0,0,0,11,0,32,0,0,0,300,0,0,51,0,1220,88,20,1.0560134506574723,0.9126307863031071
