炉号,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C_Yield,Mn_Yield,S_Yield,P_Yield
7A06878             ,HRB400B    ,1644,0.00065,0.0011,0.0003,0.00014,0.004,74400,0.0023,0.0133,0.0003,0.00018999999999999998,0.0033,0.466,0.0027,0.008,0.021,0.033,0.0052,0.0029,0.0026,0,0,10,0,32,25,0,0,0,0,0,85,1547,0,88,0,0.9134050902467444,0.8836379778973683,0.0,1.3267708110421574
7A06877             ,HRB400B    ,1543,0.0007700000000000001,0.0011,0.00039,0.00021,0.004,74200,0.0023,0.0137,0.0003,0.00027,0.0038,0.474,0.0033,0.009000000000000001,0.024,0.031,0.0082,0.0058,0.0029,0,0,4,0,40,25,0,0,0,0,0,68,1530,0,132,0,0.8665180820370342,0.9202693125442948,-20.409535452322743,1.602591792656587
7A06876             ,HRB400B    ,1684,0.00035,0.0011,0.00023999999999999998,0.0002,0.004,78250,0.0023,0.013000000000000001,0.00027,0.00021,0.0035,0.46299999999999997,0.0034,0.009000000000000001,0.02,0.034,0.0052,0.0029,0.0028,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,1.012027935851009,0.9671530951391774,7.543380462724947,0.2970766894457102
7A06875             ,HRB400B    ,1674,0.00047999999999999996,0.0012,0.00036,0.0003,0.004,73600,0.0022,0.0131,0.00037999999999999997,0.00026000000000000003,0.0037,0.45399999999999996,0.0033,0.009000000000000001,0.023,0.033,0.0045,0.0023,0.004,0,0,4,0,40,50,0,0,0,0,0,85,0,1450,132,0,0.8672229301108418,0.9096800997091816,4.730077120822603,-1.1176917236142732
7A06874             ,HRB400B    ,1800,0.00036,0.0009,0.00028,0.00025,0.004,72400,0.0024,0.0133,0.00027,0.00025,0.0038,0.478,0.0037,0.01,0.019,0.034,0.0048,0.0026,0.0033,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,0.9795853396474193,0.9324470294972995,-2.326478149100246,0.0
7A06873             ,HRB400B    ,1660,0.00022,0.0007,0.00037999999999999997,0.00014,0.004,70350,0.0023,0.0132,0.00035,0.00016999999999999999,0.0037,0.465,0.0027,0.009000000000000001,0.023,0.033,0.0041,0.0019,0.0034,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,0.9705121572684946,0.9133516825924387,-6.781812339331613,0.80125284738041
7A06872             ,HRB400B    ,1654,0.0007,0.0012,0.0002,0.00013000000000000002,0.004,77800,0.0023,0.0128,0.00035,0.00028,0.0034,0.45799999999999996,0.003,0.008,0.02,0.032,0.0038,0.0016,0.0019,0,0,5,0,41,50,0,0,0,0,0,58,0,1500,132,0,1.029550787340032,0.9061044176706827,36.30989421281892,4.283197533582911
7A06871             ,HRB400B    ,1666,0.00063,0.0014,0.00025,0.00031,0.004,73050,0.0024,0.0134,0.00028,0.00026000000000000003,0.0038,0.478,0.003,0.009000000000000001,0.02,0.032,0.0044,0.0022,0.0029,0,0,4,0,40,50,0,0,0,0,0,80,0,1450,132,0,0.9158804029070508,0.9104694640631491,7.042095115681226,-1.3866742596810921
7A06870             ,HRB400B    ,1666,0.00106,0.0009,0.00022,0.00011999999999999999,0.004,74300,0.0022,0.0135,0.00031,0.00028,0.0038,0.46,0.003,0.008,0.02,0.034,0.0068,0.0044,0.0034,0,0,5,0,40,25,0,0,0,0,0,58,0,1580,132,0,0.6927795589871099,0.8923478725026688,19.83096085409253,4.145048814504881
7A06869             ,HRB400B    ,1658,0.00043,0.0011,0.00028,0.00021,0.004,74850,0.0024,0.0132,0.00028,0.00022,0.0036,0.474,0.0025,0.008,0.018000000000000002,0.033,0.005,0.0027,0.0022,0,0,5,0,41,75,0,0,220,0,0,85,0,1330,132,0,0.9984926572908053,0.8799893120870578,0.0,0.26593476870603344
7A06868             ,HRB400B    ,1662,0.0005,0.0016,0.00022999999999999998,0.0003,0.004,81350,0.0023,0.0136,0.00022999999999999998,0.00033999999999999997,0.0037,0.47,0.0026,0.006999999999999999,0.015,0.031,0.0052,0.0029,0.0026,0,0,5,0,42,75,0,0,220,0,0,85,0,1490,132,0,0.9736024287201743,0.8597548087085182,0.0,1.0485949987110086
7A06867             ,HRB400B    ,1660,0.00042,0.0013,0.00023999999999999998,0.00027,0.004,73850,0.0023,0.0135,0.00027,0.00031,0.0037,0.46799999999999997,0.0023,0.006999999999999999,0.019,0.033,0.0054,0.0031,0.0026,0,0,5,0,40,50,0,0,200,0,0,85,0,1590,132,0,0.91488856965879,0.7580349330282022,5.842563291139237,0.9100431300061617
7A06866             ,HRB400B    ,1670,0.00072,0.0015,0.00027,0.00033,0.004,74200,0.0023,0.0135,0.00028,0.00027,0.0037,0.467,0.0021,0.006,0.011000000000000001,0.033,0.0055,0.0033,0.0025,0,0,4,0,40,25,0,0,220,0,0,68,0,1310,0,0,1.28247314415735,0.8764469643278998,2.363057324840767,-1.602591792656588
7A06864             ,HRB400B    ,1655,0.00045999999999999996,0.001,0.00032,0.00041,0.003,70000,0.0022,0.0131,0.0003,0.00031,0.0039,0.452,0.0024,0.006999999999999999,0.016,0.032,0.0047,0.0024,0.003,0,0,4,0,39,75,0,0,0,0,0,85,0,1520,132,0,0.8276655008225692,0.8392121116043119,-4.307692307692326,-2.5367833587011672
7A06862             ,HRB400B    ,1651,0.00041,0.0011,0.00037,0.00028,0.003,70000,0.0023,0.0131,0.00037,0.00029,0.0036,0.462,0.0025,0.005,0.015,0.032,0.004,0.0018,0.0027,0,0,5,0,40,50,0,0,200,0,0,93,0,1400,132,0,0.8469693477759853,0.7906626506024096,0.0,0.24104683195592386
7A06861             ,HRB400B    ,1679,0.0004,0.0013,0.00021,0.00026000000000000003,0.003,70100,0.0024,0.0136,0.00027,0.00029,0.0037,0.48100000000000004,0.0027,0.006,0.017,0.033,0.0039,0.0017,0.0031,0,0,4,0,38,50,0,0,200,0,0,90,0,1300,132,0,0.9246935386214548,0.8656927710843373,13.110972568578553,0.7723666813574255
7A06860             ,HRB400B    ,1618,0.00054,0.0012,0.00026000000000000003,0.00033,0.003,67400,0.0023,0.0131,0.00028,0.00022999999999999998,0.0036,0.462,0.0022,0.006,0.015,0.035,0.0054,0.0031,0.0039,0,0,7,0,44,50,0,0,200,0,0,102,0,1450,132,0,0.7158685482274673,0.732073749543629,3.829545454545452,-2.2493659057535718
7A06859             ,HRB400B    ,1643,0.00067,0.0011,0.00031,0.00018999999999999998,0.004,64700,0.0024,0.0129,0.00032,0.0002,0.0037,0.469,0.0025,0.005,0.017,0.033,0.0044,0.0022,0.0033,0,0,4,0,40,25,0,0,200,0,0,75,0,1270,132,0,0.8187237590883155,0.7821694943037455,2.052664974619296,0.24232209737827792
7A06858             ,HRB400B    ,1662,0.00067,0.0012,0.00037999999999999997,0.00021,0.004,69800,0.0023,0.0131,0.00033,0.00035,0.0036,0.462,0.0026,0.006999999999999999,0.013999999999999999,0.034,0.0039,0.0017,0.0033,0,0,7,0,44,25,0,0,200,0,0,75,0,1430,132,0,0.8158977212749845,0.7674440091654963,-10.028735632183905,3.300905283069855
7A06857             ,HRB400B    ,1661,0.00067,0.0014,0.00035,0.00035,0.003,63300,0.0023,0.013000000000000001,0.00029,0.00022999999999999998,0.0037,0.46,0.0024,0.006,0.018000000000000002,0.033,0.0043,0.0021,0.0034,0,0,4,0,40,25,0,0,200,0,0,75,0,1280,132,0,0.7537696151485929,0.7471914685770108,-11.973518284993702,-2.825892857142858
7A06856             ,HRB400B    ,1646,0.00067,0.0011,0.00035,0.00028,0.004,70100,0.0022,0.0129,0.00037,0.00029,0.0037,0.449,0.0027,0.005,0.015,0.033,0.0046,0.0023,0.0031,0,0,4,0,40,0,0,0,200,0,0,70,0,1340,132,0,0.8057834475297511,0.8089305273040213,4.258809234507901,0.25071530758226185
7A06855             ,HRB400B    ,1645,0.0006799999999999999,0.0014,0.00026000000000000003,0.00032,0.003,67500,0.0022,0.0131,0.00039,0.00025,0.0038,0.452,0.0025,0.006,0.017,0.032,0.1953,0.1559,0.0036,0,0,4,0,40,25,0,0,200,0,0,68,0,1330,132,0,0.7831224143984611,0.7773742026931254,26.81845965770171,-1.7008639308855296
7A06854             ,HRB400B    ,1642,0.00033999999999999997,0.001,0.00033999999999999997,0.00022,0.003,70000,0.0024,0.013000000000000001,0.00037,0.00026000000000000003,0.0037,0.47,0.0025,0.005,0.015,0.032,0.004,0.0018,0.0032,0,0,4,0,40,50,0,0,200,0,0,93,0,1300,132,0,0.9333091699891265,0.8433734939759038,6.5379825653798305,1.0279001468428792
7A06853             ,HRB400B    ,1648,0.0009699999999999999,0.0015,0.00018,0.00029,0.003,68400,0.0024,0.0133,0.00035,0.00018999999999999998,0.0039,0.47600000000000003,0.0024,0.008,0.017,0.034,0.0047,0.0025,0.0031,0,0,4,0,38,25,0,0,200,0,0,51,0,1230,132,0,0.8656863838396711,0.8500294885837053,37.90091264667536,-2.6340110905730127
7A06852             ,HRB400B    ,1662,0.00067,0.0011,0.00041,0.00027,0.002,62900,0.0023,0.013000000000000001,0.00037999999999999997,0.00022,0.0037,0.46,0.0023,0.006999999999999999,0.016,0.032,0.0044,0.0022,0.0028,0,0,4,0,40,50,0,0,200,0,0,68,0,1310,132,0,0.7846013744126604,0.7465391366791669,-5.838490099009903,-1.1469730123997082
7A06851             ,HRB400B    ,1689,0.0013800000000000002,0.0011,0.00016,0.00021,0.002,63500,0.0024,0.0133,0.00031,0.00022,0.0037,0.474,0.0021,0.005,0.013000000000000001,0.032,0.0045,0.0023,0.0034,0,0,4,0,40,0,0,0,200,0,0,34,0,1300,132,20,0.6326564039916892,0.7778112449799196,29.654420921544205,0.23311306901615267
7A06850             ,HRB400B    ,1660,0.00065,0.0008,0.00029,0.00015,0.002,66400,0.0024,0.013000000000000001,0.00032,0.0002,0.0036,0.47,0.0024,0.008,0.01,0.033,0.0044,0.0022,0.0027,0,0,4,0,38,25,0,0,200,0,0,75,0,1250,132,0,0.8521073156566286,0.8413793103448277,6.4092664092664124,1.2610148890914623
7A06849             ,HRB400B    ,1652,0.0007099999999999999,0.0009,0.0003,0.00023999999999999998,0.003,71500,0.0024,0.0134,0.00032,0.00025,0.0036,0.47600000000000003,0.0023,0.008,0.01,0.031,0.0038,0.0016,0.0023,0,0,10,0,32,25,0,0,200,0,0,68,0,1350,132,0,0.920092408999674,0.8683929265448892,4.338592233009718,0.2545208600313256
7A06848             ,HRB400B    ,1707,0.00085,0.0013,0.00028,0.00022,0.003,72800,0.0023,0.0135,0.00032,0.00033999999999999997,0.004,0.46799999999999997,0.0022,0.006,0.013000000000000001,0.034,0.0055,0.0032,0.0021,0,0,11,0,33,0,0,0,0,0,0,51,1553,0,132,20,0.8827773817143588,0.8612945018968339,8.813559322033917,3.10315430520034
7A06847             ,HRB400B    ,1668,0.00066,0.0009,0.00036,0.00023999999999999998,0.002,70000,0.0023,0.0132,0.00032,0.00029,0.0035,0.462,0.0018,0.006,0.012,0.034,0.0056,0.0033,0.0024,0,0,10,0,32,25,0,0,0,0,0,68,1545,0,132,0,0.8747053203112977,0.8392794478886418,-8.520998174071822,1.249910720662811
7A06846             ,HRB400B    ,1677,0.00033999999999999997,0.0007,0.00043,0.00028,0.002,70600,0.0024,0.0135,0.0003,0.00025,0.0036,0.478,0.002,0.006,0.013000000000000001,0.034,0.004,0.0018,0.0023,0,0,10,0,32,50,0,0,0,0,0,85,1508,0,132,0,0.9897968628347736,0.9024959253459461,-28.57409713574097,-0.7748024582967497
7A06845             ,HRB400B    ,1689,0.0007,0.0011,0.00039,0.00032,0.002,74400,0.0023,0.013000000000000001,0.00032,0.00029,0.0036,0.45899999999999996,0.0022,0.005,0.012,0.033,0.0055,0.0032,0.0027,0,0,10,0,32,25,0,0,0,0,0,68,1496,0,132,0,0.9128050351503552,0.8912924424972617,-16.336260978669994,-0.8230088495575231
7A06836             ,HRB400B    ,1651,0.0003,0.0005,0.00043,0.00016,0.003,71750,0.0023,0.0135,0.00035,0.00029,0.0038,0.469,0.0017,0.01,0.025,0.038,0.0053,0.003,0.0035,0,0,4,0,40,75,0,0,0,0,0,85,0,1450,132,0,0.9830517763437325,0.9687889488990444,-18.444730077120816,3.5411921032649967
7A06835             ,HRB400B    ,1648,0.00066,0.0011,0.00029,0.00021,0.004,74750,0.0024,0.0128,0.0003,0.00022,0.0036,0.465,0.002,0.004,0.01,0.033,0.004,0.0017,0.0022,0,0,4,0,40,25,0,0,0,0,0,68,0,1450,132,0,1.0031699754731822,0.9083662235147486,2.4019922879177336,0.2837889141989372
7A06834             ,HRB400B    ,1677,0.00073,0.0013,0.00028,0.00032,0.003,71700,0.0024,0.0135,0.00028,0.00023999999999999998,0.0037,0.47700000000000004,0.0017,0.005,0.018000000000000002,0.032,0.0045,0.0023,0.0023,0,0,4,0,40,25,0,0,0,0,0,68,0,1480,132,0,0.919908730524569,0.89012129599479,0.0,-2.133928571428573
7A06833             ,HRB400B    ,1656,0.00054,0.0014,0.00036,0.00033,0.002,76100,0.0023,0.0134,0.00037999999999999997,0.00032,0.0036,0.465,0.002,0.005,0.011000000000000001,0.033,0.0051,0.0028,0.0021,0,0,32,0,0,50,0,0,0,0,0,80,0,1530,132,0,0.94049575170283,0.8988896763524686,4.768170426065147,-0.27632534495279565
7A06832             ,HRB400B    ,1672,0.00049,0.0014,0.00037,0.00027,0.003,72250,0.0023,0.0128,0.00026000000000000003,0.00018,0.0035,0.45399999999999996,0.0012,0.006,0.011000000000000001,0.033,0.0053,0.003,0.0024,0,0,31,0,0,50,0,0,0,0,0,85,0,1540,132,0,0.8873151038132719,0.8054784071350337,-24.74315068493149,-2.345779220779221
7A06829             ,HRB400B    ,1678,0.00033,0.0009,0.00026000000000000003,0.00016,0.003,72600,0.0022,0.0132,0.00028,0.0002,0.0036,0.451,0.0017,0.006,0.011000000000000001,0.033,0.0056,0.0033,0.0027,0,0,5,0,38,50,0,0,0,0,0,85,0,1460,132,0,0.9289998891457243,0.9211297243769598,4.6419437340153396,1.0955183340878225
7A06828             ,HRB400B    ,1640,0.00101,0.001,0.00035,0.00011999999999999999,0.002,70500,0.0023,0.0134,0.00027,0.00016,0.0038,0.465,0.0016,0.005,0.01,0.034,0.0052,0.003,0.0034,0,0,5,0,38,0,0,0,0,0,0,51,0,1450,132,20,0.7717560214367596,0.907976734524304,-18.146718146718147,1.0711030082041941
7A06827             ,HRB400B    ,1651,0.00072,0.0006,0.00036,0.0001,0.002,70450,0.0024,0.0129,0.00032,0.00016999999999999999,0.0035,0.466,0.0014,0.006,0.011000000000000001,0.034,0.0053,0.0031,0.0026,0,0,5,0,38,25,0,0,0,0,0,68,0,1440,132,0,0.914102649257247,0.9062656877510039,-9.125647668393785,1.885995104788129
7A06826             ,HRB400B    ,1656,0.0007599999999999999,0.0007,0.00044,0.00011999999999999999,0.002,71150,0.0023,0.0127,0.00033,0.00014,0.0035,0.45299999999999996,0.0016,0.006,0.01,0.034,0.0046,0.0024,0.0023,0,0,5,0,28,25,0,0,0,0,0,68,0,1460,132,0,0.8442383971251315,0.8807146393794356,-25.18178893178893,0.538036902601331
7A06825             ,HRB400B    ,1661,0.0006900000000000001,0.0007,0.00033,0.00016,0.002,69950,0.0023,0.0133,0.00033,0.0002,0.0037,0.46299999999999997,0.0015,0.005,0.01,0.033,0.0055,0.0032,0.0035,0,0,10,0,30,25,0,0,0,0,0,68,0,1500,132,0,0.8631632598315361,0.8849096385542168,0.0,1.029433406916851
7A06824             ,HRB400B    ,1667,0.00073,0.001,0.00025,0.00018999999999999998,0.003,70300,0.0023,0.0133,0.00035,0.00022999999999999998,0.0035,0.46299999999999997,0.0016,0.004,0.011000000000000001,0.031,0.005,0.0027,0.0022,0,0,10,0,30,25,0,0,0,0,0,51,0,1400,132,0,0.9814855984277875,0.9301742685025818,23.495989304812838,1.107959022852639
7A06823             ,HRB400B    ,1693,0.00072,0.001,0.00026000000000000003,0.0002,0.003,69250,0.0024,0.0135,0.00027,0.00021,0.0039,0.478,0.002,0.004,0.01,0.034,0.0059,0.0036,0.0052,0,0,32,0,0,25,0,0,0,0,0,68,0,1420,132,0,0.9017206634630287,0.9180648650941795,2.330080753701208,0.27093114241001526
7A06822             ,HRB400B    ,1656,0.00108,0.0013,0.00022999999999999998,0.00033,0.003,75200,0.0024,0.0133,0.00028,0.00029,0.0037,0.473,0.0021,0.005,0.01,0.03,0.0047,0.0024,0.0022,0,0,10,0,30,0,0,0,0,0,0,51,0,1430,132,20,0.8449665039935218,0.9503749262785406,12.31979030144167,-1.1604938271604937
7A06821             ,HRB400B    ,1672,0.0007700000000000001,0.0007,0.00023999999999999998,0.00016,0.003,72300,0.0024,0.0134,0.00028,0.00023999999999999998,0.0035,0.47600000000000003,0.0023,0.005,0.011000000000000001,0.033,0.0057,0.0034,0.0027,0,0,10,0,30,25,0,0,0,0,0,51,0,1460,132,0,1.038564239951354,0.9471550585905265,9.29305912596402,2.1859410430838984
7A06820             ,HRB400B    ,1647,0.0008,0.0006,0.00032,0.00013000000000000002,0.003,70400,0.0023,0.0133,0.00033999999999999997,0.00018,0.0038,0.466,0.0026,0.006,0.015,0.035,0.0047,0.0025,0.004,0,0,10,0,30,25,0,0,0,0,0,51,0,1460,132,0,0.9306178562301164,0.9222644000660174,4.524421593830315,1.330309901738473
7A06819             ,HRB400B    ,1677,0.0007700000000000001,0.0008,0.00025,0.00022999999999999998,0.003,70450,0.0023,0.0131,0.00025,0.00023999999999999998,0.0035,0.461,0.002,0.005,0.012,0.033,0.0045,0.0023,0.0026,0,0,10,0,30,25,0,0,200,0,0,54,0,1260,132,0,0.9263920999028817,0.8938510892886614,0.0,0.26625094482237327
7A06818             ,HRB400B    ,1683,0.00086,0.0009,0.00022999999999999998,0.00021,0.003,75200,0.0024,0.0131,0.00023999999999999998,0.00023999999999999998,0.0036,0.47100000000000003,0.0022,0.005,0.011000000000000001,0.033,0.0052,0.0029,0.0026,0,0,10,0,30,25,0,0,200,0,0,51,0,1300,132,0,1.0144980859022539,0.9211244979919679,2.3558897243107735,0.8300220750551872
7A06817             ,HRB400B    ,1618,0.00093,0.0006,0.00037,0.00016,0.003,71700,0.0024,0.0129,0.00033,0.00018999999999999998,0.0035,0.466,0.0018,0.005,0.012,0.034,0.0046,0.0024,0.0026,0,0,10,0,30,25,0,0,200,0,0,68,0,1280,132,0,0.8099329147871791,0.8974173721914686,-9.0989847715736,0.8020134228187914
7A06816             ,HRB400B    ,1805,0.0007700000000000001,0.0011,0.00027,0.00027,0.003,74050,0.0023,0.0131,0.00029,0.00029,0.0035,0.461,0.0023,0.005,0.011000000000000001,0.031,0.0046,0.0024,0.0025,0,0,10,0,30,25,0,0,200,0,0,51,0,1280,132,0,0.9954618540939962,0.9042250081406707,4.698604060913699,0.5521998508575684
7A06815             ,HRB400B    ,1672,0.0007599999999999999,0.0008,0.00029,0.00018,0.003,72000,0.0024,0.0131,0.00031,0.00021,0.0036,0.47,0.0018,0.005,0.011000000000000001,0.031,0.004,0.0018,0.0025,0,0,9,0,29,25,0,0,200,0,0,54,0,1270,132,0,1.013389129238868,0.9073026801081877,4.6006389776357866,0.8109934669970715
7A06814             ,HRB400B    ,1647,0.00042,0.0009,0.00025,0.00018999999999999998,0.003,72900,0.0023,0.0133,0.00033999999999999997,0.00023999999999999998,0.0036,0.465,0.0023,0.006,0.012,0.033,0.0051,0.0028,0.0027,0,0,10,0,30,50,0,0,200,0,0,95,0,1330,88,0,0.953717041397883,0.8897944720056696,20.451995012468817,1.3149350649350648
7A06813             ,HRB400B    ,1659,0.0008,0.0012,0.00023999999999999998,0.00026000000000000003,0.003,73150,0.0024,0.0135,0.00028,0.00029,0.0036,0.478,0.0023,0.006,0.011000000000000001,0.033,0.0046,0.0023,0.0026,0,0,10,0,32,25,0,0,200,0,0,75,0,1300,88,0,0.943877057271337,0.9033584337349397,9.282994923857874,0.8070388349514556
7A06812             ,HRB400B    ,1672,0.00059,0.0011,0.00025,0.00025,0.003,74000,0.0023,0.0138,0.00027,0.00029,0.0036,0.474,0.0025,0.006,0.013000000000000001,0.034,0.0041,0.0019,0.0036,0,0,10,0,32,50,0,0,200,0,0,90,0,1370,88,0,0.906517123101214,0.9015041055943519,4.495747266099637,1.0403486573878817
